,股票,价,涨,基金总持有,,,,,北上,市值.亿,PE,超额收益.相较于沪深300,,,行业
,,,,市值.亿,占总股本,占流通,变更,机构数,,,,近3月,近1年,近3年,
'81,002318.久立特材,'22.33,'+0.90%,'29,11.99%,12.27%,'-37.11%,'71,4.57%,'216,'13.73,'-12.46%,'-6.92%,26.9%,钢铁行业
'82,002222.福晶科技,'40.95,'-0.12%,'19,11.97%,12.02%,'-14.81%,'47,0.86%,'193,'88.54,15.74%,59.71%,178.11%,光学光电子
'83,600079.人福医药,'21.86,'-0.32%,'40,11.93%,12.61%,'-50.54%,'123,2.67%,'357,'29.6,2.63%,'-18.48%,6.12%,化学制药
'84,688212.澳华内镜,'50.80,'+1.09%,'7,11.92%,11.92%,'-63.42%,'27,0.36%,'68,亏损,5.95%,'-1.85%,'-40.43%,医疗器械
'85,002078.太阳纸业,'14.40,'+1.12%,'49,11.92%,12.05%,'-39.65%,'111,1.70%,'398,'12.57,'-0.98%,'-4.77%,34.2%,造纸印刷
'86,605376.博迁新材,'42.24,'+1.44%,'12,11.88%,11.88%,'-37.98%,'32,2.06%,'111,'106.08,14.17%,81.7%,'-24.49%,小金属
'87,002487.大金重工,'31.40,'-4.33%,'18,11.85%,11.98%,'-13.70%,'53,3.04%,'209,'33.03,11.41%,37.7%,'-41.0%,风电设备
'88,688122.西部超导,'55.36,'+0.16%,'36,11.82%,11.82%,'-46.05%,'75,2.51%,'360,'47.22,8.18%,29.6%,'-37.54%,有色金属
'89,002311.海大集团,'58.37,'+0.78%,'98,11.81%,11.82%,'-28.66%,'172,3.78%,'964,'18.67,'-1.31%,30.48%,'-11.08%,农牧饲渔
'90,300308.中际旭创,'210.52,'-0.19%,'128,11.76%,11.82%,'-53.04%,'203,3.72%,'2344,'41.5,110.9%,81.34%,892.05%,通信设备
'91,300910.瑞丰新材,'57.14,'+2.11%,'20,11.75%,16.79%,'-40.75%,'25,1.34%,'166,'23.09,'-5.82%,18.46%,'-34.51%,化学制品
'92,601318.中国平安,'59.06,'-0.14%,'1098,11.68%,19.76%,'+47.16%,'596,5.94%,'10755,'9.69,6.8%,18.38%,68.1%,保险
'93,688041.海光信息,'137.34,'-3.59%,'381,11.61%,30.44%,'-30.17%,'464,3.15%,'3192,'152.87,'-8.98%,53.33%,197.2%,半导体
'94,601899.紫金矿业,'20.16,'+1.46%,'558,11.59%,14.96%,'-8.14%,'1194,7.72%,'5358,'15.16,9.97%,12.84%,145.62%,有色金属
'95,603596.伯特利,'50.99,'+6.05%,'44,11.56%,11.57%,'-48.88%,'152,6.34%,'309,'26.05,'-15.87%,6.69%,'-35.09%,汽车零部件
'96,688085.三友医疗,'19.62,'-1.01%,'6,11.50%,12.87%,'-43.12%,'16,0.31%,'65,'300.0,10.55%,5.73%,'-24.88%,医疗器械
'97,600276.恒瑞医药,'61.58,'-1.16%,'359,11.45%,11.45%,'-29.77%,'531,8.39%,'4087,'61.92,12.51%,12.37%,36.61%,化学制药
'98,300680.隆盛科技,'42.49,'+1.92%,'11,11.37%,15.23%,'+209.92%,'36,0.20%,'95,'50.84,'-9.01%,132.3%,34.58%,汽车零部件
'99,000596.古井贡酒,'139.47,'-0.39%,'102,11.33%,14.66%,'-28.88%,'90,1.26%,'740,'12.94,'-18.25%,'-38.78%,'-40.12%,酿酒行业
'100,002155.湖南黄金,'18.72,'+1.30%,'31,11.24%,11.24%,'-9.85%,'64,1.81%,'289,'27.87,2.87%,37.5%,64.32%,贵金属
