序,股票,关注度,价,涨,北上持股,扣非PE,PB,股息,ROE,市值(亿),今年来,行业
'75,SZ300308.中际旭创,'21,'210.52,'-0.19%,3.72%,'41.50,'11.31,0.24%,31.55%,'2343.57,'+71.13%,通信设备
'80,SZ300628.亿联网络,'21,'34.05,'+0.09%,3.14%,'17.61,'4.53,5.57%,29.02%,'430.85,'-8.46%,通信设备
'37,SH600941.中国移动,'20,'108.27,'-0.73%,4.09%,'18.64,'1.68,4.31%,10.22%,'977.43,'-6.56%,通信服务
'58,SH600582.天地科技,'20,'6.32,'+0.48%,1.80%,'11.60,'1.01,5.02%,13.59%,'261.56,'+7.70%,专用设备
'67,SZ002001.新和成,'20,'22.26,'+0.14%,6.24%,'9.97,'2.23,3.15%,24.43%,'683.22,'+4.55%,化学制药
'70,SZ003010.若羽臣,'20,'48.90,'+0.89%,0.23%,'88.96,'9.95,0.77%,11.37%,'105.99,'+144.73%,互联网服务
'87,SZ301501.恒鑫生活,'19,'57.00,'-0.26%,0.80%,'39.46,'4.17,0.60%,10.84%,'84.52,'+108.25%,家用轻工
'86,SZ301389.隆扬电子,'17,'55.50,'+7.00%,0.11%,'166.74,'6.54,0.48%,4.31%,'147.05,'+236.58%,电子元件
'91,SZ002065.东华软件,'17,'9.63,'+2.77%,0.54%,'112.97,'2.49,0.53%,4.10%,'300.35,'+33.36%,软件开发
'98,SZ301067.显盈科技,'17,'36.94,'-0.91%,'-,'300.00,'4.32,0.13%,1.47%,'36.25,'+16.87%,消费电子
'92,SZ300869.康泰医学,'15,'19.19,'-1.64%,0.93%,'-1.00,'4.18,1.28%,'-1.00%,'78.39,'+40.06%,医疗器械
'93,SZ300966.共同药业,'15,'24.89,'-7.30%,'-,'-1.00,'3.36,0.06%,'-1.00%,'30.95,'+54.31%,化学制药
'96,SZ002915.中欣氟材,'15,'24.43,'+9.99%,'-,'-1.00,'5.55,0.00%,'-1.00%,'72.29,'+91.16%,化学制品
'100,SZ300706.阿石创,'15,'39.72,'+3.28%,'-,'-1.00,'8.16,0.08%,'-1.00%,'58.93,'+65.16%,半导体
'83,SH688543.国科军工,'14,'57.46,'+4.76%,0.51%,'72.13,'5.17,1.32%,8.55%,'120.00,'+39.67%,航天航空
'85,SH600031.三一重工,'13,'20.02,'+1.93%,11.80%,'26.55,'2.27,1.80%,9.51%,'1696.57,'+23.92%,工程机械
'97,SZ002351.漫步者,'13,'13.55,'+2.11%,1.70%,'28.15,'4.08,1.88%,15.96%,'117.98,'-16.28%,消费电子
'99,SZ001965.招商公路,'13,'11.31,'+0.09%,1.45%,'15.77,'1.06,3.69%,7.48%,'770.70,'-15.91%,铁路公路
'84,SZ301306.西测测试,'12,'70.49,'+9.63%,'-,'-1.00,'5.43,0.00%,'-1.00%,'54.27,'+88.63%,专业服务
'88,SZ000972.*ST中基,'12,'3.60,'+2.27%,'-,'-1.00,'-1.00,0.00%,'-1.00%,'27.15,'+28.57%,食品饮料
'94,SZ301357.北方长龙,'12,'157.90,'+20.00%,'-,'-1.00,'11.17,0.00%,'-1.00%,'125.26,'+375.03%,汽车零部件
'89,SZ002557.洽洽食品,'11,'22.72,'-0.96%,3.95%,'19.04,'2.05,5.67%,12.08%,'116.04,'-17.40%,食品饮料
'90,SZ302132.中航成飞,'10,'88.82,'+4.76%,0.07%,'300.00,'11.58,0.75%,'-1.00%,'2269.38,'+24.67%,航天航空
'95,SZ301489.思泉新材,'10,'140.99,'+9.99%,'-,'179.79,'9.84,0.14%,5.86%,'103.51,'+190.25%,消费电子
