排名,股票,价,涨,PEG,PE.扣非,预测增速,北上持股,PB,股息,ROE,市值.亿,今年来,行业
'101,SH600487.亨通光电,'16.20,'+0.37%,'1.13,'14.21,13.00%,2.61%,'1.36,1.42%,10.13%,'400,'-4.50%,通信设备
'102,SH601225.陕西煤业,'21.43,'+5.62%,'1.14,'9.23,8.91%,2.48%,'2.15,6.29%,23.53%,'2078,'-2.07%,煤炭行业
'103,SH601628.中国人寿,'41.52,'+0.65%,'1.14,'10.20,8.90%,0.38%,'2.20,1.57%,22.73%,'8646,'+0.17%,保险
'104,SH601101.昊华能源,'7.80,'+4.00%,'1.15,'13.04,11.45%,2.18%,'0.91,5.87%,7.15%,'112,'+0.84%,煤炭行业
'105,SH601601.中国太保,'37.40,'-0.40%,'1.15,'8.40,7.29%,3.19%,'1.36,2.89%,16.43%,'2560,'+12.97%,保险
'106,SH605166.聚合顺,'11.77,'+3.98%,'1.15,'11.92,10.61%,'-,'1.89,1.13%,16.61%,'37,'-0.48%,化学制品
'107,SZ002098.浔兴股份,'9.49,'+0.42%,'1.15,'15.58,13.69%,'-,'2.46,1.06%,16.97%,'34,'+20.12%,纺织服装
'108,SZ300705.九典制药,'17.66,'-2.97%,'1.15,'17.76,16.02%,1.41%,'3.44,1.71%,21.55%,'91,'+0.34%,化学制药
'109,SH600729.重庆百货,'28.86,'-0.21%,'1.16,'9.38,8.91%,2.83%,'1.60,4.72%,17.90%,'127,'+3.50%,商业百货
'110,SH601998.中信银行,'8.38,'-0.59%,'1.17,'6.77,5.85%,0.91%,'0.58,4.15%,8.75%,'3416,'+22.41%,银行
'111,SH603979.金诚信,'49.46,'-0.10%,'1.17,'17.81,15.42%,2.23%,'3.27,0.91%,20.28%,'309,'+37.65%,采掘行业
'112,SH600713.南京医药,'5.21,'-1.70%,'1.18,'11.58,9.78%,0.86%,'0.97,3.26%,8.65%,'68,'+8.58%,医药商业
'113,SZ000568.泸州老窖,'127.58,'+0.45%,'1.18,'13.86,11.80%,2.22%,'3.73,1.07%,27.99%,'1870,'+3.10%,酿酒行业
'114,SZ002215.诺普信,'11.88,'-0.25%,'1.18,'15.81,14.94%,2.31%,'2.68,2.94%,17.44%,'120,'+9.05%,农药兽药
'115,SZ002947.恒铭达,'34.22,'+0.82%,'1.18,'17.58,15.30%,0.77%,'2.66,1.77%,18.31%,'87,'+4.58%,消费电子
'116,SH600188.兖矿能源,'13.31,'+2.54%,'1.19,'9.99,8.68%,1.84%,'1.56,5.79%,16.24%,'794,'-2.00%,煤炭行业
'117,SH600211.西藏药业,'42.12,'-4.01%,'1.19,'13.47,12.99%,0.80%,'3.31,4.65%,25.97%,'136,'+17.14%,生物制品
'118,SH600489.中金黄金,'14.83,'+0.34%,'1.19,'19.74,14.91%,3.20%,'2.53,2.62%,13.22%,'719,'+26.58%,贵金属
'119,SH600710.苏美达,'10.85,'-1.27%,'1.19,'12.06,11.02%,4.33%,'1.81,3.40%,15.76%,'142,'+21.28%,贸易行业
'120,SH603055.台华新材,'9.88,'+1.75%,'1.19,'11.90,13.13%,0.36%,'1.70,2.53%,15.14%,'88,'-8.45%,纺织服装
'121,SH601336.新华保险,'68.00,'+0.59%,'1.20,'7.81,6.49%,2.90%,'2.66,2.04%,31.26%,'1418,'+36.82%,保险
'122,SH605090.九丰能源,'28.62,'+0.21%,'1.20,'11.15,11.71%,0.63%,'1.93,4.17%,18.77%,'191,'+3.41%,燃气
'123,SH600582.天地科技,'6.32,'+0.48%,'1.21,'7.77,9.56%,1.80%,'1.01,5.02%,13.59%,'262,'+7.70%,专用设备
'124,SH601107.四川成渝,'5.64,'-1.23%,'1.21,'11.32,9.80%,1.27%,'0.86,5.14%,8.44%,'122,'+12.90%,铁路公路
