序,股票,价,涨,北上,现金/市值,资产负债率,现金流.亿,市值.亿,PE.扣非,股息,净利润.亿,今年来,行业
'284,603163.圣晖集成,'40.24,'+3.39%,'-,15.73%,49.71%,'6.33,'40.24,'33.54,1.86%,'1.20,'+55.59%,工程建设
'285,002268.电科网安,'18.87,'-1.31%,1.60%,15.68%,20.05%,'25.02,'159.57,'107.10,0.32%,'1.49,'+16.52%,软件开发
'286,603586.金麒麟,'20.09,'-0.79%,'-,15.61%,14.95%,'6.15,'39.39,'23.75,1.99%,'1.66,'+41.97%,汽车零部件
'287,301201.诚达药业,'30.24,'+4.13%,'-,15.60%,10.38%,'7.30,'46.79,'-,0.66%,'-0.58,'+51.14%,医疗服务
'288,301328.维峰电子,'48.48,'-1.26%,0.45%,15.58%,10.97%,'8.30,'53.28,'58.29,1.03%,'0.91,'+15.57%,电子元件
'289,600825.新华传媒,'7.04,0.00%,0.06%,15.54%,32.91%,'11.43,'73.56,'-,0.17%,'-0.46,'+7.67%,文化传媒
'290,601126.四方股份,'17.06,'-5.80%,2.15%,15.52%,58.71%,'22.07,'142.16,'18.96,4.22%,'7.50,'+5.01%,电网设备
'291,688663.新风光,'33.03,'-1.11%,'-,15.52%,58.86%,'7.21,'46.45,'30.26,1.82%,'1.54,'+55.53%,电网设备
'292,600583.海油工程,'5.51,'-0.36%,2.61%,15.50%,40.37%,'37.77,'243.62,'12.63,3.65%,'19.30,'+4.61%,采掘行业
'293,002955.鸿合科技,'26.85,'-1.54%,3.33%,15.50%,26.77%,'9.85,'63.54,'84.51,9.54%,'0.75,'+19.80%,光学光电子
'294,301393.昊帆生物,'57.99,'+4.84%,0.21%,15.49%,4.18%,'9.70,'62.63,'52.91,0.67%,'1.18,'+46.01%,生物制品
'295,002737.葵花药业,'15.96,'-0.19%,0.51%,15.45%,18.32%,'14.40,'93.21,'-,3.13%,'-0.67,'-19.63%,中药
'296,002557.洽洽食品,'23.17,'+3.58%,3.95%,15.44%,37.78%,'18.10,'117.21,'21.99,5.61%,'5.33,'-15.77%,食品饮料
'297,002096.易普力,'13.85,'-0.22%,0.52%,15.41%,36.87%,'26.48,'171.80,'23.47,1.66%,'7.32,'+18.44%,化学制品
'298,301090.华润材料,'7.91,'+1.02%,0.23%,15.31%,31.76%,'18.00,'117.57,'-,'-,'-4.68,'+13.98%,化学原料
'299,603205.健尔康,'30.98,'-0.77%,'-,15.27%,13.04%,'7.38,'48.33,'47.20,0.87%,'1.02,'+6.16%,医疗器械
'300,000922.佳电股份,'11.98,'+1.70%,0.50%,15.26%,47.43%,'12.71,'83.29,'47.24,0.93%,'1.76,'+7.20%,电机
'301,000551.创元科技,'11.67,0.00%,'-,15.22%,37.74%,'8.61,'56.57,'23.51,0.71%,'2.41,'+18.01%,环保行业
'302,600817.宇通重工,'12.24,'+1.66%,0.91%,15.12%,40.03%,'9.87,'65.28,'37.10,3.11%,'1.76,'+9.06%,工程机械
'303,688119.中钢洛耐,'4.52,'+0.89%,'-,15.10%,41.81%,'7.68,'50.85,'-,'-,'-0.62,'+15.90%,非金属材料
'304,002304.洋河股份,'73.85,'-0.08%,1.36%,15.08%,19.97%,'167.78,'1112.51,'35.59,6.29%,'31.26,'-5.70%,酿酒行业
'305,300389.艾比森,'18.05,'+14.38%,0.59%,15.04%,57.94%,'10.02,'66.62,'52.49,0.83%,'1.27,'+53.75%,光学光电子
'306,301595.太力科技,'41.59,'-0.72%,'-,15.03%,23.89%,'6.77,'45.03,'60.85,'-,'0.74,'+143.93%,家用轻工
'307,600126.杭钢股份,'10.49,'+2.64%,0.43%,14.99%,39.67%,'53.10,'354.27,'-,'-,'-8.71,'+119.46%,钢铁行业
'308,002154.报喜鸟,'3.80,0.00%,0.88%,14.99%,29.99%,'8.31,'55.45,'18.82,3.16%,'2.95,'-12.68%,纺织服装
'309,301580.爱迪特,'47.48,'+0.81%,0.19%,14.98%,12.08%,'7.58,'50.60,'32.87,0.98%,'1.54,'+15.69%,医疗器械
'310,601601.中国太保,'39.60,'-1.76%,3.19%,14.94%,89.66%,'569.32,'3809.66,'8.28,2.73%,'460.08,'+19.62%,保险
'311,603758.秦安股份,'14.97,'-3.42%,'-,14.89%,11.41%,'9.78,'65.69,'35.29,2.00%,'1.86,'+86.93%,汽车零部件
'312,002282.博深股份,'7.37,'-0.27%,'-,14.86%,9.11%,'5.77,'38.83,'22.97,2.71%,'1.69,'+2.33%,通用设备
'313,002091.江苏国泰,'8.15,'+0.87%,1.73%,14.85%,49.11%,'19.70,'132.65,'12.50,4.91%,'10.61,'+15.99%,贸易行业
'314,600824.益民集团,'4.44,'+1.60%,'-,14.76%,15.46%,'6.91,'46.80,'-,0.41%,'-0.01,'-0.25%,商业百货
'315,002649.博彦科技,'15.51,'+2.11%,0.71%,14.75%,26.12%,'13.39,'90.79,'64.90,1.10%,'1.40,'+29.64%,互联网服务
'316,688151.华强科技,'23.78,'-1.90%,0.03%,14.73%,13.10%,'12.07,'81.92,'-,0.25%,'-0.82,'+53.51%,专用设备
'317,002406.远东传动,'8.18,'-0.73%,0.11%,14.73%,17.21%,'8.80,'59.73,'65.80,1.83%,'0.91,'+29.42%,汽车零部件
'318,601718.际华集团,'3.91,'-0.51%,0.40%,14.69%,42.79%,'25.22,'171.71,'-,0.77%,'-41.10,'+37.68%,纺织服装
'319,002373.千方科技,'11.56,'+2.66%,1.66%,14.66%,33.13%,'26.78,'182.67,'-,'-,'-11.48,'+14.00%,互联网服务
'320,603344.星德胜,'27.00,'+3.09%,'-,14.66%,31.90%,'7.70,'52.52,'28.68,1.15%,'1.83,'+11.81%,电机
