序,股票,价,涨,持股比,持有市值.亿,近3月,近1年,近2年,近3年,PE,股息,市值,今年来,行业
'101,601838.成都银行,'18.20,'-1.46%,5.83%,'49.63,'+1.04%,'+1.03%,'+1.30%,'-1.27%,'5.80,4.90%,'771.40,'+11.47%,银行
'102,600519.贵州茅台,'1476.10,'-0.26%,5.80%,'1027.06,'-0.55%,'-0.86%,'-1.20%,'-1.42%,'20.55,3.50%,'18484.76,'-1.24%,酿酒行业
'103,600609.金杯汽车,'5.02,'-1.95%,5.78%,'3.99,'-0.82%,'+4.82%,'+5.62%,%,'29.63,'-,'65.49,'-30.28%,汽车零部件
'104,000807.云铝股份,'19.41,'+0.10%,5.67%,'31.45,'-0.45%,'+0.45%,'-4.37%,'+0.73%,'14.55,2.11%,'673.13,'+45.14%,有色金属
'105,600584.长电科技,'41.15,'+3.13%,5.65%,'34.08,'+0.76%,'+0.50%,'+2.34%,'+2.58%,'52.46,0.29%,'736.34,'+1.09%,半导体
'106,300661.圣邦股份,'77.46,'-0.40%,5.64%,'25.36,'+2.42%,'+1.21%,'+1.36%,'+0.42%,'111.99,0.20%,'478.71,'+23.41%,半导体
'107,601012.隆基绿能,'17.08,'-0.52%,5.62%,'63.94,'-0.08%,'+0.83%,'-6.47%,'-7.48%,'-,1.00%,'1294.33,'+8.72%,光伏设备
'108,603323.苏农银行,'5.26,'-0.57%,5.62%,'6.36,'+0.21%,'+0.95%,'+5.04%,%,'5.46,3.11%,'106.18,'+12.63%,银行
'109,300285.国瓷材料,'22.85,'-0.22%,5.61%,'9.70,'-0.14%,'-4.48%,'-12.20%,'-13.58%,'38.40,0.88%,'227.83,'+35.63%,化学制品
'110,002353.杰瑞股份,'47.20,'-0.51%,5.58%,'19.99,'+0.55%,'-5.04%,'-7.77%,'-9.76%,'17.81,1.72%,'483.26,'+30.22%,专用设备
'111,000725.京东方Ａ,'4.20,'-0.71%,5.57%,'81.66,'-2.91%,'-2.59%,'-3.25%,'+1.72%,'34.87,1.19%,'1542.28,'-3.11%,光学光电子
'112,000728.国元证券,'9.14,'-1.08%,5.38%,'18.53,'+1.79%,'+4.05%,'+3.94%,'+3.50%,'15.08,1.75%,'398.85,'+11.56%,证券
'113,300294.博雅生物,'26.39,'-0.83%,5.36%,'7.03,'-0.16%,'+0.28%,'+1.33%,'+2.44%,'63.90,1.21%,'133.07,'-12.32%,生物制品
'114,688777.中控技术,'50.83,'-2.25%,5.33%,'18.94,'-1.03%,'-0.39%,'-0.48%,'+4.82%,'47.08,1.40%,'402.16,'+3.95%,软件开发
'115,600919.江苏银行,'10.72,'-1.02%,5.33%,'116.89,'+0.47%,'-0.09%,'+0.56%,'+1.10%,'5.94,4.86%,'1967.26,'+14.66%,银行
