排名,股票,价,涨,便宜指数,北上持股,PE.扣非,PE.TTM,PB,股息,ROE,市值(亿),今年来,行业
'106,SH601298.青岛港,'8.67,'+2.00%,'6.69,0.36%,'10.87,'10.35,'1.28,3.62%,12.78%,'467.49,'-2.58%,航运港口
'107,SZ000828.东莞控股,'11.96,'+4.27%,'6.68,1.13%,'11.99,'11.89,'1.24,3.97%,10.73%,'124.33,'+15.39%,铁路公路
'108,SZ002233.塔牌集团,'9.17,'+2.69%,'6.68,1.17%,'27.37,'14.63,'0.92,4.91%,6.35%,'109.33,'+26.42%,水泥建材
'109,SZ002060.广东建工,'3.66,'+0.27%,'6.68,0.73%,'12.89,'12.95,'1.01,3.83%,8.01%,'137.41,'+4.13%,工程建设
'110,SH601168.西部矿业,'19.33,'+3.65%,'6.67,4.92%,'14.84,'14.48,'2.77,5.17%,19.66%,'460.63,'+28.05%,有色金属
'111,SH601928.凤凰传媒,'11.29,'+0.09%,'6.67,1.77%,'12.24,'14.66,'1.44,4.43%,10.03%,'287.32,'+2.15%,文化传媒
'112,SH603855.华荣股份,'20.61,'-3.24%,'6.66,3.20%,'15.22,'15.12,'3.50,4.85%,24.13%,'69.56,'+6.62%,专用设备
'113,SH600888.新疆众和,'7.53,'+0.80%,'6.66,0.89%,'13.55,'11.08,'0.94,3.59%,8.87%,'105.70,'+10.34%,有色金属
'114,SH600780.通宝能源,'5.87,'-0.34%,'6.64,0.76%,'12.27,'11.70,'0.84,3.07%,7.45%,'67.30,'+4.26%,电力行业
'115,SH600585.海螺水泥,'24.31,'-0.16%,'6.63,4.83%,'15.38,'14.74,'0.68,2.92%,4.69%,'972.33,'+5.60%,水泥建材
'116,SZ002327.富安娜,'7.30,'-0.55%,'6.62,1.04%,'15.14,'14.22,'1.75,8.49%,12.21%,'61.19,'-11.14%,纺织服装
'117,SH603600.永艺股份,'10.95,'+0.46%,'6.62,'-,'12.22,'11.96,'1.58,4.21%,13.62%,'36.18,'-5.25%,装修建材
'118,SH600713.南京医药,'5.00,'-3.10%,'6.62,0.86%,'12.29,'11.89,'0.95,3.40%,8.22%,'65.45,'+4.21%,医药商业
