排名,股票,价,涨,PEG,PE.扣非,预测增速,北上持股,PB,股息,ROE,市值.亿,今年来,行业
'258,SH603239.浙江仙通,'15.13,'-0.20%,'1.74,'21.86,12.92%,'-,'3.39,1.39%,16.37%,'41,'+14.15%,汽车零部件
'259,SZ002705.新宝股份,'15.82,'-3.30%,'1.74,'11.13,6.58%,3.98%,'1.54,2.84%,14.37%,'128,'+8.85%,家电行业
'260,SZ002920.德赛西威,'126.37,'-0.60%,'1.74,'29.35,17.51%,1.41%,'7.28,0.95%,26.54%,'701,'+16.17%,汽车零部件
'261,SH600674.川投能源,'14.65,'-1.61%,'1.75,'15.30,8.79%,2.64%,'1.68,2.73%,11.32%,'714,'-12.92%,电力行业
'262,SH601179.中国西电,'6.56,0.00%,'1.76,'28.02,16.86%,2.21%,'1.49,1.27%,5.39%,'336,'-12.96%,电网设备
'263,SH603733.仙鹤股份,'24.84,'-0.80%,'1.76,'18.90,11.35%,0.47%,'2.13,2.01%,11.72%,'175,'+23.34%,造纸印刷
'264,SZ002454.松芝股份,'8.76,'-1.90%,'1.76,'29.42,21.88%,'-,'1.38,1.14%,4.76%,'55,'+33.46%,汽车零部件
'265,SH601126.四方股份,'17.06,'-5.80%,'1.77,'18.51,10.71%,2.15%,'3.17,4.22%,17.67%,'142,'+5.01%,电网设备
'266,SH603025.大豪科技,'16.74,'-0.89%,'1.77,'28.26,15.94%,0.36%,'7.79,2.08%,29.08%,'187,'+12.74%,专用设备
'267,SZ300415.伊之密,'25.05,'-0.71%,'1.77,'17.97,10.37%,2.80%,'3.84,2.00%,22.85%,'117,'+27.93%,专用设备
'268,SH600036.招商银行,'41.98,'-2.12%,'1.78,'7.13,4.01%,6.62%,'0.82,4.76%,12.38%,'8660,'+11.44%,银行
'269,SH600517.国网英大,'5.92,'+0.68%,'1.78,'18.76,10.75%,0.77%,'1.51,1.40%,8.31%,'339,'+8.52%,多元金融
'270,SH601139.深圳燃气,'6.61,'-0.60%,'1.78,'14.02,8.11%,0.43%,'1.21,2.42%,8.88%,'190,'-4.00%,燃气
'271,SZ002155.湖南黄金,'22.74,'+10.02%,'1.79,'33.39,18.27%,1.81%,'4.87,0.78%,15.43%,'355,'+89.72%,贵金属
'272,SZ002847.盐津铺子,'75.53,'+1.37%,'1.79,'29.72,18.27%,3.32%,'9.46,2.12%,36.82%,'206,'+22.19%,食品饮料
'273,SH605088.冠盛股份,'38.23,'+0.98%,'1.80,'25.65,14.25%,0.59%,'2.93,1.44%,12.47%,'78,'+55.05%,汽车零部件
'274,SZ002683.广东宏大,'34.06,'-0.41%,'1.80,'26.18,15.19%,0.79%,'3.87,1.91%,15.12%,'259,'+30.52%,采掘行业
'275,SH600737.中粮糖业,'17.79,'+10.02%,'1.81,'29.37,16.40%,0.71%,'3.51,3.43%,11.95%,'381,'+80.77%,食品饮料
'276,SZ002661.克明食品,'9.87,'-2.08%,'1.81,'22.91,13.54%,'-,'1.42,3.04%,5.85%,'33,'+0.71%,食品饮料
