,股票,价,涨,ROE,股息,扣非PE,PB,市值(亿),今年来,行业
'173,600989.宝丰能源,'17.57,'+1.27%,20.65%,1.59%,'14.57,'2.88,'1288.47,'+7.11%,化学原料
'174,002553.南方精工,'32.61,'-3.98%,20.62%,0.61%,'99.85,'8.55,'113.48,'+154.77%,汽车零部件
'175,688018.乐鑫科技,'218.18,'+0.26%,20.58%,0.20%,'85.09,'14.06,'341.89,'+40.21%,半导体
'176,605599.菜百股份,'14.59,'+4.59%,20.51%,4.93%,'16.36,'2.89,'113.48,'+33.67%,珠宝首饰
'177,688516.奥特维,'42.18,'+3.89%,20.48%,5.83%,'17.64,'3.43,'132.95,'+2.16%,光伏设备
'178,300181.佐力药业,'18.90,'-0.84%,20.47%,3.17%,'22.57,'4.36,'132.56,'+27.61%,中药
'179,603355.莱克电气,'22.58,'-2.17%,20.44%,6.64%,'13.19,'2.42,'129.49,'-0.31%,家电行业
'180,300100.双林股份,'46.74,'-0.95%,20.34%,0.30%,'64.49,'9.17,'267.34,'+136.75%,汽车零部件
'181,688036.传音控股,'90.00,'-0.01%,20.30%,3.33%,'34.09,'5.18,'1026.32,'-3.29%,消费电子
'182,688625.呈和科技,'34.02,'-1.08%,20.29%,1.26%,'25.08,'4.49,'64.07,'+25.81%,化学制品
'183,002947.恒铭达,'43.70,'-2.54%,20.28%,1.37%,'21.90,'3.63,'111.96,'+33.55%,消费电子
'184,002315.焦点科技,'52.66,'+3.11%,20.25%,2.09%,'33.87,'6.28,'167.06,'+28.30%,互联网服务
'185,603288.海天味业,'41.22,'-0.53%,20.25%,2.09%,'36.77,'6.16,'2292.08,'-8.42%,食品饮料
'186,603737.三棵树,'47.93,'-1.50%,20.23%,0.48%,'98.19,'12.02,'353.64,'+58.63%,装修建材
'187,002043.兔宝宝,'10.85,'+0.74%,20.23%,5.55%,'18.25,'2.92,'90.03,'-5.78%,装修建材
'188,301015.百洋医药,'25.92,'-1.82%,20.23%,2.94%,'29.45,'6.28,'136.24,'+11.69%,医药商业
'189,002011.盾安环境,'12.73,'-2.75%,20.16%,'-,'13.84,'2.23,'135.63,'+17.76%,家电行业
'190,002028.思源电气,'96.36,'+10.00%,20.11%,0.52%,'32.99,'5.61,'750.07,'+33.45%,电网设备
'191,605296.神农集团,'32.48,'+1.18%,20.10%,'-,'17.79,'3.33,'170.38,'+17.26%,农牧饲渔
'192,601567.三星医疗,'23.27,'+1.04%,20.10%,3.84%,'14.47,'2.69,'327.00,'-21.35%,电网设备
'193,002014.永新股份,'11.23,'-0.62%,20.06%,5.52%,'15.50,'2.87,'68.78,'+7.92%,包装材料
'194,688411.海博思创,'125.25,'-1.97%,19.99%,0.88%,'37.32,'5.53,'225.57,'+555.57%,电源设备
'195,601717.中创智领,'21.71,'+6.16%,19.94%,5.16%,'10.20,'1.76,'334.80,'+78.47%,汽车零部件
'196,002371.北方华创,'377.84,'+1.43%,19.89%,0.21%,'44.62,'8.07,'2726.51,'+30.77%,半导体
'197,000995.皇台酒业,'14.88,'+0.54%,19.80%,'-,'268.54,'17.78,'26.40,'-9.82%,酿酒行业
'198,603596.伯特利,'46.55,'-2.39%,19.77%,0.75%,'23.51,'4.06,'282.33,'+5.11%,汽车零部件
'199,001395.亚联机械,'55.42,'-3.92%,19.74%,1.12%,'29.79,'4.36,'48.35,'+194.20%,专用设备
'200,301165.锐捷网络,'103.61,'+16.02%,19.73%,0.42%,'98.44,'17.48,'824.17,'+102.71%,通信设备
'201,603530.神马电力,'29.25,'-0.34%,19.70%,1.57%,'39.17,'7.22,'126.27,'+20.41%,电网设备
'202,601168.西部矿业,'19.33,'+3.65%,19.66%,5.17%,'14.84,'2.77,'460.63,'+28.05%,有色金属
'203,000848.承德露露,'8.67,'-0.12%,19.60%,3.46%,'14.64,'2.69,'91.26,'-0.52%,食品饮料
'204,300604.长川科技,'62.50,'+4.60%,19.58%,0.16%,'70.01,'10.42,'394.04,'+41.94%,半导体
'205,301613.新铝时代,'57.50,'+0.91%,19.57%,1.16%,'36.87,'5.36,'82.71,'+51.42%,汽车零部件
'206,601058.赛轮轮胎,'14.43,'+1.83%,19.50%,2.63%,'12.60,'2.31,'474.47,'+2.61%,橡胶制品
'207,300770.新媒股份,'45.92,'-2.71%,19.46%,6.25%,'14.25,'2.81,'105.22,'+15.76%,文化传媒
'208,603871.嘉友国际,'12.29,'+2.42%,19.38%,4.07%,'15.88,'2.91,'168.13,'-8.55%,物流行业
'209,603337.杰克股份,'48.01,'-3.46%,19.37%,1.68%,'28.06,'4.89,'228.73,'+59.63%,专用设备
'210,002997.瑞鹄模具,'40.05,'-2.48%,19.30%,0.75%,'21.59,'3.59,'83.83,'+16.57%,汽车零部件
'211,003013.地铁设计,'15.81,'+1.28%,19.27%,3.04%,'12.90,'2.31,'64.56,'+8.12%,工程咨询服务
'212,600803.新奥股份,'18.76,'-0.21%,19.27%,5.49%,'14.06,'2.51,'581.01,'-8.73%,燃气
'213,000791.甘肃能源,'6.52,'+1.56%,19.27%,2.76%,'16.80,'1.53,'211.50,'+11.25%,电力行业
'214,688697.纽威数控,'14.89,'-0.07%,19.23%,2.88%,'25.79,'4.07,'68.10,'+29.38%,通用设备
'215,002372.伟星新材,'10.69,'-0.83%,19.21%,5.61%,'20.13,'3.72,'170.19,'-11.69%,装修建材
'216,002836.新宏泽,'9.40,'+1.07%,19.18%,2.66%,'34.16,'6.23,'21.66,'+31.22%,造纸印刷
'217,300002.神州泰岳,'13.68,'-0.87%,19.13%,0.73%,'26.47,'3.67,'269.11,'+18.95%,游戏
'218,003000.劲仔食品,'12.56,'+0.24%,19.07%,3.18%,'25.12,'4.01,'56.63,'-6.24%,食品饮料
'219,600436.片仔癀,'207.33,'-0.90%,19.07%,1.43%,'45.60,'8.55,'1250.86,'-2.47%,中药
'220,603811.诚意药业,'14.57,'+3.33%,19.03%,1.72%,'28.74,'3.71,'47.69,'+93.73%,化学制药
'221,301345.涛涛车业,'183.28,'+1.28%,19.01%,1.09%,'34.28,'6.02,'199.10,'+185.82%,交运设备
'222,603283.赛腾股份,'42.55,'+6.14%,19.00%,0.94%,'24.00,'3.75,'118.54,'-13.19%,专用设备
'223,603277.银都股份,'17.42,'+0.11%,19.00%,3.97%,'24.85,'3.63,'106.91,'+11.36%,通用设备
'224,300627.华测导航,'37.57,'-1.96%,18.99%,0.95%,'49.84,'7.79,'295.00,'+27.22%,通信设备
'225,688188.柏楚电子,'156.73,'+2.37%,18.97%,1.31%,'47.92,'7.91,'452.00,'+14.19%,软件开发
