,股票,价,涨,最新股息,平均股息,扣非PE,PB,ROE,市值(亿),今年来,行业
'772,300099.尤洛卡,'7.28,'-0.41%,2.43%,2.05%,'57.22,'2.33,4.23%,'53.67,'+24.65%,专用设备
'773,600613.神奇制药,'6.72,'+1.66%,2.23%,2.04%,'54.72,'1.55,2.87%,'32.21,'+0.21%,化学制药
'774,600814.杭州解百,'8.13,'+1.50%,1.69%,2.04%,'31.95,'1.62,5.54%,'59.76,'-0.17%,商业百货
'775,603233.大参林,'16.93,'+0.42%,3.66%,2.04%,'19.00,'2.63,14.62%,'192.81,'+14.65%,医药商业
'776,603697.有友食品,'13.82,'-2.12%,3.40%,2.04%,'37.53,'3.30,10.54%,'59.11,'+37.95%,食品饮料
'777,688370.丛麟科技,'28.94,'+4.21%,1.24%,2.04%,'300.00,'1.51,1.63%,'39.68,'+50.27%,环保行业
'778,688581.安杰思,'75.30,'-0.78%,1.82%,2.04%,'23.08,'2.51,12.69%,'60.98,'+28.87%,医疗器械
'779,002208.合肥城建,'6.78,'+0.15%,1.25%,2.03%,亏损,'0.84,'-1.00%,'54.46,'-4.64%,房地产开发
'780,002516.旷达科技,0.00,0.00%,1.40%,2.03%,'56.92,'2.30,4.67%,'83.84,'+14.39%,汽车零部件
'781,002536.飞龙股份,'26.53,'-1.89%,1.51%,2.03%,'38.82,'4.51,10.77%,'152.49,'+133.99%,汽车零部件
'782,002925.盈趣科技,'18.51,'-0.75%,2.32%,2.03%,'56.45,'3.13,5.50%,'143.90,'+20.21%,消费电子
'783,301298.东利机械,'17.15,'+1.30%,1.75%,2.03%,'34.07,'2.73,7.84%,'25.18,'+26.82%,汽车零部件
'784,605099.共创草坪,'33.09,'+2.07%,1.93%,2.02%,'23.36,'4.69,21.38%,'132.90,'+60.76%,家用轻工
'785,002956.西麦食品,'22.02,'+0.96%,1.90%,2.02%,'39.09,'3.26,9.78%,'49.16,'+34.39%,食品饮料
'786,002968.新大正,'10.72,'+0.19%,2.66%,2.02%,'24.31,'1.96,8.46%,'24.26,'+19.75%,房地产服务
'787,300955.嘉亨家化,'32.81,'+3.01%,0.85%,2.02%,亏损,'3.78,'-1.00%,'33.07,'+110.81%,美容护理
'788,301086.鸿富瀚,'66.07,'+4.05%,1.21%,2.02%,'78.66,'3.14,4.49%,'59.46,'+32.22%,消费电子
'789,600216.浙江医药,'15.78,'+0.77%,2.34%,2.01%,'10.06,'1.35,14.35%,'151.75,'+1.91%,化学制药
'790,600415.小商品城,'22.49,'-0.04%,1.47%,2.01%,'38.15,'6.05,17.24%,'1233.27,'+70.71%,商业百货
'791,603871.嘉友国际,'12.29,'+2.42%,4.07%,2.01%,'15.88,'2.91,19.38%,'168.13,'-8.55%,物流行业
'792,605060.联德股份,'28.22,'+10.02%,1.24%,2.01%,'34.90,'2.79,8.51%,'67.90,'+64.20%,通用设备
'793,600900.长江电力,'27.79,'-1.07%,3.39%,2.00%,'19.81,'3.29,17.08%,'6799.72,'-2.90%,电力行业
