序号	基金代码	基金简称	日期	单位净值	累计净值	日增长率	近1周	近1月	近3月	近6月	近1年	近2年	近3年	今年来	成立来	自定义 	手续费
87	13466	博时智选量化	9月1日	1.4022	1.4949	0.48%	4.35%	21.62%	31.81%	27.47%	95.19%	68.14%	56.13%	41.90%	51.88%	99.03%	0.00%
88	4616	中欧电子信息	9月1日	3.2822	3.3512	0.81%	2.24%	21.26%	41.68%	27.81%	95.10%	31.02%	63.43%	47.37%	238.40%	101.02%	0.15%
89	6229	中欧医疗创新	9月1日	1.6927	1.6927	4.09%	-0.66%	3.52%	33.73%	56.51%	94.76%	28.79%	-0.04%	70.58%	69.27%	98.21%	0.00%
90	15734	红塔红土信息	9月1日	1.9775	1.9775	1.17%	5.95%	25.80%	53.96%	44.35%	94.44%	92.61%	---	53.48%	97.75%	98.58%	0.10%
91	19764	中欧半导体产	9月1日	1.5356	1.5356	1.07%	4.73%	28.35%	36.95%	22.19%	94.33%	---	---	33.21%	53.56%	101.71%	0.00%
92	6081	海富通电子传	9月1日	3.5807	3.5807	4.26%	15.33%	43.46%	92.74%	71.53%	93.72%	50.11%	22.35%	73.12%	258.07%	100.33%	0.15%
93	15735	红塔红土信息	9月1日	1.958	1.958	1.17%	5.95%	25.75%	53.81%	44.06%	93.67%	91.10%	---	53.08%	95.80%	97.78%	0.00%
94	5763	中欧电子信息	9月1日	3.2987	3.3687	0.80%	2.22%	21.18%	41.39%	27.29%	93.52%	28.93%	59.54%	46.58%	210.50%	99.39%	0.00%
95	11377	创金合信积极	9月1日	1.2808	1.2808	1.16%	0.20%	21.08%	25.21%	34.85%	93.36%	54.03%	44.95%	45.36%	28.08%	101.57%	0.15%
96	697	汇添富移动互	9月1日	2.444	2.444	2.95%	8.96%	38.94%	72.23%	47.67%	93.20%	50.31%	48.21%	61.64%	144.40%	98.54%	0.15%
97	6751	富国互联科技	9月1日	4.0296	4.0296	3.78%	18.30%	50.22%	83.04%	74.07%	92.53%	89.84%	44.01%	77.35%	302.96%	94.85%	0.15%
98	11378	创金合信积极	9月1日	1.2517	1.2517	1.16%	0.18%	21.03%	25.04%	34.49%	92.39%	52.46%	42.76%	44.87%	25.17%	100.56%	0.00%
99	6080	海富通电子传	9月1日	3.3642	3.3642	4.25%	15.30%	43.36%	92.34%	70.83%	92.17%	47.73%	19.46%	72.20%	236.42%	98.75%	0.00%
100	7853	华商计算机行	9月1日	1.4395	1.4395	0.40%	-0.21%	12.89%	29.30%	12.93%	91.93%	29.94%	45.26%	27.80%	43.95%	97.62%	0.15%
101	15198	汇添富移动互	9月1日	2.395	2.395	2.92%	8.91%	38.76%	71.81%	47.11%	91.91%	48.67%	45.68%	60.95%	31.45%	97.12%	0.00%
102	11126	富国互联科技	9月1日	3.9202	3.9202	3.77%	18.28%	50.14%	82.75%	73.54%	91.42%	87.62%	41.46%	76.66%	53.04%	93.73%	0.00%
103	17628	华商计算机行	9月1日	1.4248	1.4248	0.40%	-0.22%	12.86%	29.16%	12.70%	91.17%	28.92%	---	27.45%	49.26%	96.88%	0.00%
104	1877	宝盈国家安全	9月1日	1.9543	1.9543	1.88%	6.76%	29.42%	54.80%	40.25%	90.66%	65.84%	42.87%	54.09%	95.43%	95.84%	0.15%
105	688	景顺长城研究	9月1日	2.336	2.586	2.73%	8.15%	35.97%	55.63%	35.03%	89.92%	102.78%	81.32%	50.42%	179.70%	93.54%	0.15%
106	14668	银华专精特新	9月1日	1.4057	1.4057	0.55%	-1.39%	7.70%	22.04%	30.40%	89.60%	49.16%	41.83%	43.37%	40.57%	93.52%	0.15%
107	13613	宝盈国家安全	9月1日	1.909	1.909	1.88%	6.75%	29.37%	54.57%	39.83%	89.46%	63.82%	40.25%	53.48%	10.81%	94.62%	0.00%
108	6803	嘉实互通精选	9月1日	1.4777	1.4777	1.35%	3.29%	16.96%	24.84%	19.46%	89.38%	27.29%	19.20%	49.20%	47.77%	94.05%	0.15%
109	14669	银华专精特新	9月1日	1.3926	1.3926	0.54%	-1.39%	7.67%	21.95%	30.20%	89.03%	48.28%	40.55%	43.08%	39.26%	92.93%	0.00%
110	18998	景顺长城研究	9月1日	2.308	2.308	2.71%	8.15%	35.92%	55.32%	34.58%	88.87%	100.52%	---	49.77%	90.12%	92.49%	0.00%
111	9601	招商科技动力	9月1日	1.7081	1.7081	1.99%	0.95%	25.14%	35.22%	28.97%	88.78%	115.26%	119.95%	43.79%	70.81%	92.01%	0.15%
112	501201	红土创新科技	9月1日	1.3709	1.3709	2.19%	8.24%	17.63%	43.09%	46.23%	88.52%	3.68%	-23.74%	47.42%	37.09%	94.73%	0.15%
113	8085	海富通先进制	9月1日	1.5516	1.5516	1.04%	6.03%	26.71%	51.88%	35.74%	88.30%	41.36%	6.28%	51.15%	55.16%	94.78%	0.15%
114	8084	海富通先进制	9月1日	1.5166	1.5166	1.04%	6.03%	26.67%	51.72%	35.47%	87.54%	40.22%	5.01%	50.74%	51.66%	93.99%	0.00%
115	9602	招商科技动力	9月1日	1.6418	1.6418	1.99%	0.93%	25.05%	34.94%	28.45%	87.29%	111.87%	114.75%	43.06%	64.18%	90.51%	0.00%
116	5825	申万菱信智能	9月1日	4.2199	4.6623	2.61%	8.81%	31.27%	59.19%	46.21%	86.94%	64.75%	41.06%	58.95%	392.16%	89.86%	0.15%
117	14191	广发先进制造	9月1日	1.4308	1.4308	3.59%	14.79%	46.21%	76.71%	53.82%	86.54%	87.40%	15.59%	62.91%	43.08%	92.31%	0.15%
118	15159	申万菱信智能	9月1日	4.1376	4.5941	2.61%	8.80%	31.23%	59.03%	45.91%	86.16%	63.42%	39.33%	58.49%	26.85%	89.09%	0.00%
119	13940	东吴医疗服务	9月1日	0.843	0.843	5.02%	-0.45%	0.93%	28.04%	53.38%	85.89%	48.10%	5.52%	71.20%	-15.70%	86.59%	0.15%
120	14192	广发先进制造	9月1日	1.411	1.411	3.59%	14.79%	46.16%	76.53%	53.50%	85.80%	85.93%	14.21%	62.46%	41.10%	91.53%	0.00%
121	13641	博道成长智航	9月1日	1.42	1.42	0.73%	2.73%	14.58%	31.82%	35.20%	85.77%	58.36%	64.20%	43.00%	42.00%	89.33%	--
122	1167	金鹰科技创新	9月1日	2.008	2.344	0.64%	3.18%	17.48%	35.63%	24.91%	85.45%	62.58%	118.91%	41.81%	154.81%	91.95%	0.15%
123	13941	东吴医疗服务	9月1日	0.8364	0.8364	5.02%	-0.45%	0.92%	27.99%	53.27%	85.41%	47.49%	4.85%	71.01%	-16.36%	86.11%	0.00%
124	6781	汇丰晋信港股	9月1日	1.1634	1.1634	1.21%	-0.50%	14.15%	31.74%	39.06%	85.37%	47.88%	34.02%	51.80%	16.34%	87.86%	0.15%
125	11042	国泰价值先锋	9月1日	1.217	1.217	3.12%	1.80%	16.60%	40.73%	45.16%	85.10%	42.92%	28.19%	66.83%	21.70%	88.30%	0.15%
126	13642	博道成长智航	9月1日	1.393	1.393	0.73%	2.73%	14.54%	31.66%	34.86%	84.85%	56.78%	61.77%	42.54%	39.30%	88.42%	0.00%
127	19505	国泰君安中证	9月1日	1.5871	1.5871	0.74%	-0.02%	11.70%	28.25%	31.51%	84.50%	---	---	38.76%	58.71%	87.60%	0.15%
128	19093	金鹰科技创新	9月1日	1.9817	2.3177	0.63%	3.17%	17.42%	35.42%	24.53%	84.36%	60.66%	---	41.24%	58.66%	90.84%	0.00%
129	16013	南方碳中和股	9月1日	1.2114	1.2114	2.46%	9.46%	31.47%	47.28%	33.84%	84.05%	44.40%	---	43.07%	21.14%	87.35%	0.15%
130	19506	国泰君安中证	9月1日	1.5763	1.5763	0.74%	-0.03%	11.67%	28.12%	31.26%	83.78%	---	---	38.39%	57.63%	86.88%	0.00%
131	11043	国泰价值先锋	9月1日	1.174	1.174	3.11%	1.78%	16.53%	40.45%	44.58%	83.58%	40.63%	25.13%	65.94%	17.40%	86.79%	0.00%
132	16014	南方碳中和股	9月1日	1.1978	1.1978	2.45%	9.45%	31.42%	47.11%	33.56%	83.29%	43.28%	---	42.68%	19.78%	86.60%	0.00%
133	14376	东吴新能源汽	9月1日	1.8097	1.8097	0.98%	6.32%	26.63%	44.23%	28.93%	83.04%	67.43%	73.09%	50.58%	80.97%	88.86%	0.15%
134	1410	信澳新能源产	9月1日	4.823	4.885	0.58%	3.99%	22.79%	36.82%	19.92%	82.90%	40.69%	11.46%	30.56%	404.93%	89.06%	0.15%
135	1672	国寿安保智慧	9月1日	1.85	2.657	0.71%	2.21%	18.21%	36.13%	27.76%	82.63%	55.68%	46.84%	39.41%	228.99%	86.12%	0.15%
136	14377	东吴新能源汽	9月1日	1.7837	1.7837	0.97%	6.31%	26.58%	44.10%	28.68%	82.31%	66.08%	71.02%	50.19%	78.37%	88.11%	0.00%
137	13339	创金合信芯片	9月1日	1.2519	1.2519	0.83%	2.74%	23.52%	34.37%	15.93%	81.94%	53.46%	45.59%	27.30%	25.19%	89.68%	0.15%
138	10469	圆信永丰聚优	9月1日	1.3751	1.3751	0.56%	-2.63%	7.31%	20.64%	32.71%	81.46%	47.69%	47.97%	45.91%	37.51%	84.70%	0.15%
139	13340	创金合信芯片	9月1日	1.2275	1.2275	0.83%	2.73%	23.47%	34.20%	15.64%	81.05%	51.92%	43.40%	26.87%	22.75%	88.73%	0.00%
140	10470	圆信永丰聚优	9月1日	1.3512	1.3512	0.55%	-2.63%	7.27%	20.51%	32.43%	80.74%	46.49%	46.20%	45.54%	35.12%	83.99%	0.00%
141	8923	建信医疗健康	9月1日	1.729	1.729	4.75%	-0.34%	4.08%	30.97%	61.68%	80.73%	71.68%	79.32%	75.37%	72.90%	82.38%	0.15%
142	3145	国联竞争优势	9月1日	2.528	2.528	2.68%	7.73%	27.49%	44.99%	45.51%	80.17%	44.87%	33.21%	49.03%	152.80%	84.38%	0.15%
143	4698	博时军工主题	9月1日	2.011	2.011	-0.74%	-0.10%	16.18%	39.36%	35.24%	80.04%	28.99%	4.36%	45.30%	101.10%	84.66%	0.15%
144	8924	建信医疗健康	9月1日	1.7039	1.7039	4.75%	-0.35%	4.04%	30.78%	61.38%	80.02%	70.34%	77.21%	74.94%	70.39%	81.69%	0.00%
145	10003	景顺长城电子	9月1日	1.5975	1.5975	1.83%	5.90%	19.50%	27.45%	18.73%	79.76%	41.42%	47.64%	35.77%	59.75%	85.41%	0.15%
146	3069	光大创业板量	9月1日	1.833	1.833	1.96%	6.29%	25.99%	44.22%	32.93%	79.74%	44.13%	16.27%	36.69%	83.30%	83.94%	0.15%
147	10892	中银证券精选	9月1日	0.6252	0.6252	3.80%	11.56%	32.85%	76.76%	56.34%	79.66%	12.43%	-22.51%	63.45%	-37.48%	85.13%	0.15%
148	14062	景顺长城专精	9月1日	0.9557	0.9557	0.97%	0.82%	12.38%	29.80%	29.59%	79.51%	33.96%	19.54%	42.20%	-4.43%	83.97%	0.15%
149	1915	宝盈医疗健康	9月1日	2.496	2.572	5.01%	1.38%	6.58%	30.07%	60.82%	79.44%	72.82%	64.15%	77.15%	161.82%	81.26%	0.15%
150	20553	南方半导体产	9月1日	1.797	1.797	2.34%	1.45%	16.95%	31.92%	25.97%	79.13%	---	---	42.13%	79.70%	80.95%	0.15%
151	10004	景顺长城电子	9月1日	1.5667	1.5667	1.83%	5.90%	19.47%	27.37%	18.54%	79.11%	40.35%	45.96%	35.46%	56.67%	84.73%	0.00%
152	10893	中银证券精选	9月1日	0.6139	0.6139	3.79%	11.58%	32.82%	76.61%	56.05%	78.93%	11.56%	-23.43%	63.01%	-38.61%	84.41%	0.00%
153	11592	博时军工主题	9月1日	1.959	1.959	-0.76%	-0.10%	16.12%	39.13%	34.82%	78.90%	27.46%	2.51%	44.79%	6.82%	83.60%	0.00%
154	3070	光大创业板量	9月1日	1.6559	1.6559	1.96%	6.28%	25.89%	43.99%	32.59%	78.86%	42.79%	14.73%	36.21%	65.59%	83.05%	0.00%
155	14063	景顺长城专精	9月1日	0.9414	0.9414	0.98%	0.82%	12.35%	29.67%	29.33%	78.80%	32.89%	18.12%	41.82%	-5.86%	83.22%	0.00%
156	20437	宝盈医疗健康	9月1日	2.473	2.473	5.01%	1.39%	6.55%	29.88%	60.48%	78.56%	---	---	76.52%	58.93%	80.25%	0.00%
157	6002	工银医药健康	9月1日	2.5806	3.1282	4.77%	1.97%	8.80%	35.65%	57.80%	78.51%	36.37%	20.99%	70.19%	209.87%	81.12%	0.15%
158	20554	南方半导体产	9月1日	1.7868	1.7868	2.34%	1.44%	16.90%	31.78%	25.72%	78.36%	---	---	41.75%	78.68%	80.18%	0.00%
