序号	基金代码	基金简称	日期	单位净值	累计净值	日增长率	近1周	近1月	近3月	近6月	近1年	近2年	近3年	今年来	成立来	自定义 
3198	23638	国泰恒生电网	9月1日	1.4115	1.4115	3.20%	7.61%	25.93%	49.02%	---	---	---	---	---	41.15%	41.15%
3199	23639	国泰恒生电网	9月1日	1.4102	1.4102	3.20%	7.60%	25.90%	48.93%	---	---	---	---	---	41.02%	41.02%
3200	23254	汇添富中证全	9月1日	1.0612	1.0612	-0.38%	0.31%	13.70%	28.43%	13.58%	---	---	---	---	6.12%	6.12%
3201	23255	汇添富中证全	9月1日	1.06	1.06	-0.39%	0.30%	13.69%	28.36%	13.47%	---	---	---	---	6.00%	6.00%
3202	23467	华安中证A5	9月1日	1.0769	1.0769	0.34%	0.63%	8.12%	7.70%	---	---	---	---	---	7.69%	7.69%
3203	23998	易方达上证科	9月1日	1.3661	1.3661	1.23%	2.65%	21.40%	37.95%	---	---	---	---	---	36.61%	36.61%
3204	22756	鹏扬中证A5	9月1日	1.1709	1.1709	1.05%	1.83%	11.83%	21.20%	---	---	---	---	---	17.09%	17.09%
3205	24161	大成北证50	9月1日	1.0892	1.0892	-0.34%	-1.75%	8.82%	8.46%	---	---	---	---	---	8.92%	8.92%
3206	24162	大成北证50	9月1日	1.0885	1.0885	-0.34%	-1.75%	8.80%	8.39%	---	---	---	---	---	8.85%	8.85%
3207	23565	易方达科创人	9月1日	1.41	1.41	-0.75%	4.70%	31.91%	45.36%	---	---	---	---	---	41.00%	41.00%
3208	23423	东财沪深30	9月1日	1.1571	1.1571	0.57%	1.19%	11.04%	18.30%	15.25%	---	---	---	---	14.60%	14.60%
3209	23462	中欧中证人工	9月1日	1.531	1.531	2.38%	8.26%	37.93%	61.01%	---	---	---	---	---	53.10%	53.10%
3210	23499	博道中证80	9月1日	1.2053	1.2053	0.02%	0.53%	9.00%	19.48%	---	---	---	---	---	20.53%	20.53%
3211	24037	银华港股科技	9月1日	1.1993	1.1993	1.62%	-0.36%	7.04%	20.33%	---	---	---	---	---	19.93%	19.93%
3212	24039	银华港股科技	9月1日	1.1989	1.1989	1.62%	-0.36%	7.04%	20.29%	---	---	---	---	---	19.89%	19.89%
3213	24069	上银中证半导	9月1日	1.3578	1.3578	1.85%	4.95%	28.84%	38.23%	---	---	---	---	---	35.78%	35.78%
3214	24060	汇添富中证光	9月1日	1.2695	1.2695	0.76%	1.40%	13.72%	28.13%	---	---	---	---	---	26.95%	26.95%
3215	23432	天弘中证A5	9月1日	1.0759	1.0759	0.08%	0.88%	8.46%	7.59%	---	---	---	---	---	7.59%	7.59%
3216	22311	永赢中证50	9月1日	1.2022	1.2022	0.52%	0.91%	12.49%	27.77%	---	---	---	---	---	20.22%	20.22%
3217	23065	申万菱信沪深	9月1日	1.0836	1.0836	-0.71%	-2.97%	0.81%	5.86%	9.34%	---	---	---	---	8.36%	8.36%
3218	23052	交银中证A5	9月1日	1.1203	1.1203	0.11%	0.92%	8.43%	12.73%	---	---	---	---	---	12.03%	12.03%
3219	23815	泰康中债1-	9月1日	1.0004	1.0004	0.04%	0.03%	-0.15%	0.02%	---	---	---	---	---	0.04%	0.04%
3220	23252	天弘上证18	9月1日	1.1568	1.1568	0.75%	0.92%	10.28%	16.32%	16.09%	---	---	---	---	15.68%	15.68%
3221	23862	国投瑞银中证	9月1日	1.1543	1.1543	0.57%	1.31%	10.66%	---	---	---	---	---	---	15.43%	15.43%
3222	23861	国投瑞银中证	9月1日	1.1555	1.1555	0.57%	1.32%	10.70%	---	---	---	---	---	---	15.55%	15.55%
3223	23268	合煦智远中证	9月1日	1.0039	1.0039	0.01%	0.02%	0.07%	0.06%	---	---	---	---	---	0.39%	0.39%
3224	23521	博时上证科创	9月1日	1.2816	1.2816	-0.60%	4.25%	32.59%	46.10%	---	---	---	---	---	28.16%	28.16%
3225	23548	平安上证18	9月1日	1.1668	1.1668	0.80%	0.94%	10.26%	16.70%	---	---	---	---	---	16.68%	16.68%
3226	23519	国投瑞银上证	9月1日	1.34	1.34	1.28%	1.35%	15.39%	40.86%	---	---	---	---	---	34.00%	34.00%
3227	22782	中泰中证A5	9月1日	1.1826	1.1826	0.88%	2.17%	12.31%	20.00%	---	---	---	---	---	18.26%	18.26%
3228	23395	宝盈北证50	9月1日	1.1505	1.1505	-0.29%	-2.02%	9.53%	10.46%	15.05%	---	---	---	---	15.05%	15.05%
3229	23482	万家中证港股	9月1日	1.6547	1.6547	4.85%	1.18%	9.55%	44.91%	---	---	---	---	---	65.47%	65.47%
3230	23518	国投瑞银上证	9月1日	1.3416	1.3416	1.29%	1.37%	15.42%	40.97%	---	---	---	---	---	34.16%	34.16%
3231	23367	海富通中证A	9月1日	1.1894	1.1894	0.58%	0.93%	10.20%	17.83%	---	---	---	---	---	18.94%	18.94%
3232	23483	中金中证A5	9月1日	1.1745	1.1745	0.78%	1.87%	11.97%	20.14%	---	---	---	---	---	17.45%	17.45%
3233	22325	长城中证港股	8月29日	1.1293	1.1413	-1.14%	-2.34%	-2.39%	7.61%	---	---	---	---	---	14.15%	---
3234	23104	中银中证港股	9月1日	0.993	0.993	-0.01%	-2.30%	-0.09%	---	---	---	---	---	---	-0.70%	-0.70%
3235	23852	富国上证科创	9月1日	1.3	1.3	1.52%	4.24%	15.08%	34.80%	---	---	---	---	---	30.00%	30.00%
3236	23949	银河中证A5	9月1日	1.1107	1.1107	0.71%	1.77%	9.64%	---	---	---	---	---	---	11.07%	11.07%
3237	22382	建信中证A股	9月1日	1.2544	1.2544	0.53%	1.06%	11.27%	23.88%	---	---	---	---	---	25.44%	25.44%
3238	23597	景顺长城中证	9月1日	1.7309	1.7309	5.11%	1.26%	9.44%	45.43%	---	---	---	---	---	73.11%	73.11%
3239	23827	华商中证50	9月1日	1.2572	1.2572	0.79%	0.21%	11.80%	---	---	---	---	---	---	25.72%	25.72%
3240	23505	兴银中证港股	9月1日	1.1327	1.1327	2.51%	-0.57%	6.60%	14.84%	---	---	---	---	---	13.27%	13.27%
3241	23506	兴银中证港股	9月1日	1.1308	1.1308	2.50%	-0.57%	6.57%	14.73%	---	---	---	---	---	13.08%	13.08%
3242	23552	银华上证科创	9月1日	1.251	1.251	-0.56%	3.87%	29.84%	42.29%	---	---	---	---	---	25.10%	25.10%
3243	23517	华泰保兴中证	9月1日	1.1311	1.1311	0.52%	1.16%	9.13%	13.11%	---	---	---	---	---	13.11%	13.11%
3244	23530	永赢国证通用	9月1日	1.1145	1.1145	-0.92%	0.40%	9.30%	17.68%	---	---	---	---	---	11.45%	11.45%
3245	23257	国融中证同业	9月1日	1.0059	1.0059	0.00%	0.01%	0.08%	0.31%	---	---	---	---	---	0.59%	0.59%
3246	23620	华夏中证A5	9月1日	1.2439	1.2439	0.79%	1.76%	11.54%	20.53%	---	---	---	---	---	24.39%	24.39%
3247	23700	招商中债1-	9月1日	1.0522	1.0566	0.04%	0.04%	-0.06%	0.13%	---	---	---	---	---	0.71%	0.71%
3248	23461	中欧中证人工	9月1日	1.5326	1.5326	2.38%	8.27%	37.96%	61.11%	---	---	---	---	---	53.26%	53.26%
3249	24190	华泰柏瑞恒生	9月1日	1.0853	1.0853	-0.38%	-2.56%	6.65%	8.22%	---	---	---	---	---	8.53%	8.53%
3250	23243	中欧恒生消费	9月1日	1.0901	1.0901	-0.39%	-2.67%	6.90%	9.41%	---	---	---	---	---	9.01%	9.01%
3251	23120	民生加银中证	9月1日	1.2017	1.2017	0.54%	0.20%	8.75%	18.72%	---	---	---	---	---	20.17%	20.17%
3252	23298	汇添富中证A	9月1日	1.2687	1.2687	0.78%	1.55%	11.83%	21.67%	---	---	---	---	---	26.87%	26.87%
3253	23326	路博迈中证A	9月1日	1.1248	1.1248	0.55%	0.79%	9.19%	15.41%	---	---	---	---	---	12.48%	12.48%
3254	23001	汇添富上证科	9月1日	1.3621	1.3621	2.18%	4.04%	21.45%	37.70%	---	---	---	---	---	36.21%	36.21%
3255	23389	易方达中证港	9月1日	1.1297	1.1377	0.01%	-2.36%	0.19%	8.17%	---	---	---	---	---	13.76%	13.76%
3256	23893	大成上证科创	9月1日	1.3384	1.3384	1.39%	2.84%	20.50%	34.34%	---	---	---	---	---	33.84%	33.84%
3257	23903	国投瑞银上证	9月1日	1.3517	1.3517	1.17%	2.81%	19.33%	36.56%	---	---	---	---	---	35.17%	35.17%
3258	23196	南方中证物联	9月1日	1.3521	1.3521	2.47%	6.82%	26.09%	35.62%	---	---	---	---	---	35.21%	35.21%
3259	23325	路博迈中证A	9月1日	1.1269	1.1269	0.56%	0.80%	9.24%	15.53%	---	---	---	---	---	12.69%	12.69%
3260	23520	博时上证科创	9月1日	1.2835	1.2835	-0.59%	4.26%	32.62%	46.22%	---	---	---	---	---	28.35%	28.35%
3261	23550	银华上证科创	9月1日	1.2516	1.2516	-0.56%	3.88%	29.85%	42.32%	---	---	---	---	---	25.16%	25.16%
3262	23551	银华上证科创	9月1日	1.2504	1.2504	-0.56%	3.86%	29.83%	42.25%	---	---	---	---	---	25.04%	25.04%
3263	22804	中加中证A5	9月1日	1.1934	1.1934	0.80%	1.68%	11.19%	20.56%	19.69%	---	---	---	---	19.34%	19.34%
3264	23607	光大保德信沪	9月1日	1.0868	1.0868	0.09%	-0.60%	6.32%	8.70%	---	---	---	---	---	8.68%	8.68%
3265	24002	汇添富国证自	9月1日	1.1204	1.1204	0.78%	-1.08%	6.71%	12.06%	---	---	---	---	---	12.04%	12.04%
3266	23594	中信保诚中证	9月1日	0.9263	0.9263	0.92%	-0.56%	14.19%	25.79%	---	---	---	---	---	4.60%	4.60%
3267	22768	浦银安盛中证	9月1日	1.2061	1.2061	1.11%	3.16%	12.22%	18.96%	---	---	---	---	---	20.61%	20.61%
3268	23912	国联上证科创	9月1日	1.2815	1.2815	1.34%	3.06%	18.79%	---	---	---	---	---	---	28.15%	28.15%
3269	23545	东方中证A5	9月1日	1.1704	1.1704	0.86%	2.52%	14.02%	---	---	---	---	---	---	17.04%	17.04%
3270	24059	汇添富中证光	9月1日	1.2702	1.2702	0.76%	1.40%	13.74%	28.19%	---	---	---	---	---	27.02%	27.02%
3271	22854	中航中证智选	9月1日	1.2954	1.2954	0.95%	2.19%	13.33%	23.77%	---	---	---	---	---	29.54%	29.54%
3272	23651	富国上证科创	9月1日	1.3169	1.3169	1.08%	4.07%	28.63%	38.34%	---	---	---	---	---	31.69%	31.69%
3273	23652	富国上证科创	9月1日	1.3158	1.3158	1.08%	4.07%	28.61%	38.27%	---	---	---	---	---	31.58%	31.58%
3274	23153	中银证券中证	9月1日	1.1989	1.1989	0.82%	1.96%	12.46%	20.42%	---	---	---	---	---	19.89%	19.89%
3275	23154	中银证券中证	9月1日	1.1975	1.1975	0.81%	1.95%	12.44%	20.33%	---	---	---	---	---	19.75%	19.75%
3276	22811	人保中证A5	9月1日	1.2252	1.2252	0.75%	2.31%	10.77%	18.09%	---	---	---	---	---	22.52%	22.52%
3277	23436	富安达中证A	9月1日	1.1164	1.1164	0.40%	0.79%	9.69%	11.65%	---	---	---	---	---	11.64%	11.64%
3278	23619	华夏中证A5	9月1日	1.2453	1.2453	0.79%	1.77%	11.57%	20.62%	---	---	---	---	---	24.53%	24.53%
3279	23556	华宝深证10	9月1日	1.29	1.29	0.99%	3.51%	16.85%	26.28%	---	---	---	---	---	29.00%	29.00%
3280	23336	泓德中证A5	9月1日	1.2032	1.2032	0.78%	1.61%	9.21%	17.05%	---	---	---	---	---	20.32%	20.32%
3281	22855	中航中证智选	9月1日	1.2931	1.2931	0.95%	2.18%	13.30%	23.65%	---	---	---	---	---	29.31%	29.31%
3282	22290	兴业中证红利	9月1日	1.0016	1.0016	-0.22%	-1.99%	0.50%	0.16%	---	---	---	---	---	0.16%	0.16%
3283	23735	汇添富上证科	9月1日	1.3399	1.3399	1.47%	2.93%	21.08%	36.36%	---	---	---	---	---	33.99%	33.99%
3284	20088	泰信中证同业	9月1日	1.0026	1.0026	0.01%	0.02%	0.04%	0.13%	---	---	---	---	---	0.26%	0.26%
3285	23447	长城上证科创	9月1日	1.3374	1.3374	1.79%	4.33%	21.21%	35.23%	---	---	---	---	---	33.74%	33.74%
3286	23920	国泰富时现金	9月1日	1.1536	1.1596	0.64%	0.10%	7.73%	12.92%	---	---	---	---	---	16.00%	16.00%
3287	23655	融通中证诚通	9月1日	1.0904	1.0904	-0.05%	-0.47%	6.61%	8.95%	---	---	---	---	---	9.04%	9.04%
3288	23979	诺德华证价值	9月1日	1.1447	1.1447	0.01%	-0.99%	5.63%	15.73%	---	---	---	---	---	14.47%	14.47%
3289	23446	长城上证科创	9月1日	1.3393	1.3393	1.79%	4.34%	21.26%	35.36%	---	---	---	---	---	33.93%	33.93%
3290	23719	华夏上证科创	9月1日	1.3683	1.3683	1.47%	2.89%	21.41%	37.02%	---	---	---	---	---	36.83%	36.83%
3291	23720	华夏上证科创	9月1日	1.3672	1.3672	1.47%	2.88%	21.39%	36.95%	---	---	---	---	---	36.72%	36.72%
3292	23738	富国上证科创	9月1日	1.3649	1.3649	1.49%	3.00%	21.54%	37.33%	---	---	---	---	---	36.49%	36.49%
3293	23734	国泰上证科创	9月1日	1.3534	1.3534	1.33%	2.64%	19.47%	37.91%	---	---	---	---	---	35.34%	35.34%
