排名,股票,价,涨,PEG,PE.扣非,预测增速,北上持股,PB,股息,ROE,市值.亿,今年来,行业
'328,SH603530.神马电力,'29.85,'+2.05%,'0.77,'40.88,54.24%,1.62%,'6.97,1.54%,18.01%,'129,'+22.88%,电网设备
'329,SH605286.同力日升,'39.48,'+2.47%,'0.77,'23.89,31.58%,2.84%,'3.24,0.61%,14.25%,'66,'+31.34%,专用设备
'330,SH688611.杭州柯林,'38.96,'-1.32%,'0.77,'81.59,109.84%,'-,'6.67,0.37%,8.40%,'60,'+63.82%,电网设备
'331,SZ002275.桂林三金,'16.15,'-7.08%,'0.77,'19.40,32.79%,1.07%,'3.26,3.45%,17.43%,'102,'+9.70%,中药
'332,SZ002893.京能热力,'10.94,'-0.36%,'0.77,'37.74,44.46%,'-,'2.11,0.93%,5.73%,'29,'+9.48%,公用事业
'333,SZ300570.太辰光,'117.47,'-2.20%,'0.77,'88.32,117.43%,3.44%,'16.70,0.67%,20.38%,'273,'+63.01%,通信设备
'334,SH603596.伯特利,'50.99,'+6.05%,'0.78,'24.36,33.55%,6.34%,'4.53,0.69%,19.93%,'309,'+15.14%,汽车零部件
'335,SZ002966.苏州银行,'8.69,'-0.46%,'0.78,'7.55,9.82%,2.67%,'0.68,4.22%,9.87%,'390,'+9.63%,银行
'336,SZ300866.安克创新,'131.43,'+5.80%,'0.78,'28.90,42.23%,8.93%,'7.10,1.68%,25.95%,'665,'+36.66%,消费电子
'337,SZ300907.康平科技,'33.94,'+1.65%,'0.78,'37.32,48.18%,'-,'4.15,1.50%,11.02%,'32,'+61.31%,电机
'338,SZ002312.川发龙蟒,'11.28,'+0.09%,'0.79,'39.97,52.25%,0.56%,'2.23,1.25%,5.67%,'213,'-21.07%,化肥行业
'339,SZ002318.久立特材,'22.33,'+0.90%,'0.79,'13.94,17.32%,4.57%,'2.66,4.38%,20.03%,'216,'-0.77%,钢铁行业
'340,SZ002461.珠江啤酒,'10.50,'+0.96%,'0.79,'27.20,36.16%,0.71%,'2.16,1.63%,8.15%,'230,'+7.77%,酿酒行业
