序,股票,价,涨,低估率,当前市值.亿,折现市值.亿,当前现金流.亿,资产负债率,PE,PB,股息,ROE,今年来,行业
'367,603235.天新药业,'28.84,'-0.07%,63.31%,'126,'206,'14,16.82%,'17.49,'2.61,2.36%,15.72%,'+15.62%,食品饮料
'368,002947.恒铭达,'38.08,'+0.58%,62.99%,'97,'158,'10,18.07%,'19.61,'2.97,1.58%,18.31%,'+16.38%,消费电子
'369,002495.佳隆股份,'2.76,0.00%,62.86%,'25,'42,'3,4.38%,'103.00,'2.31,0.29%,2.24%,'+8.97%,食品饮料
'370,600345.长江通信,'27.20,'-2.93%,62.70%,'92,'150,'8,22.49%,'50.14,'2.63,0.20%,5.31%,'+17.91%,通信设备
'371,688608.恒玄科技,'231.79,'+1.48%,62.28%,'384,'624,'36,6.41%,'61.69,'5.74,0.61%,9.73%,'+0.01%,半导体
'372,600714.金瑞矿业,'12.05,'-1.07%,62.17%,'35,'56,'4,8.32%,'72.87,'4.63,1.03%,6.44%,'+24.23%,化学原料
'373,301132.满坤科技,'42.31,'+4.91%,61.54%,'59,'96,'6,36.45%,'46.70,'3.32,1.04%,7.27%,'+55.87%,电子元件
'374,300496.中科创达,'60.30,'+0.58%,60.50%,'275,'442,'29,17.60%,'67.38,'2.79,0.30%,4.20%,'+1.35%,互联网服务
'375,603860.中公高科,'33.21,'-0.75%,60.20%,'22,'35,'2,11.13%,'45.88,'2.77,0.50%,6.19%,'+13.16%,工程咨询服务
'376,301029.怡合达,'25.24,'+0.28%,60.06%,'159,'255,'18,11.46%,'37.13,'3.77,1.19%,11.61%,'+3.51%,通用设备
'377,002268.电科网安,'18.74,'+0.38%,59.81%,'157,'252,'17,19.53%,'72.76,'2.86,0.32%,4.00%,'+15.72%,软件开发
'378,002938.鹏鼎控股,'51.84,'+0.41%,59.72%,'1196,'1911,'111,25.83%,'33.14,'3.66,1.94%,11.50%,'+46.85%,电子元件
'379,300532.今天国际,'12.75,'-0.47%,59.50%,'58,'92,'4,60.82%,'23.39,'3.30,3.45%,14.17%,'+12.55%,互联网服务
'380,300509.新美星,'9.98,'+1.11%,58.70%,'29,'46,'3,74.26%,'51.57,'4.83,1.52%,9.27%,'+46.60%,专用设备
'381,300844.山水比德,'44.35,'+0.23%,58.44%,'40,'63,'3,20.64%,'229.72,'5.24,'-,2.31%,'+97.86%,工程咨询服务
'382,605060.联德股份,'25.02,0.00%,58.42%,'60,'95,'5,15.89%,'33.11,'2.54,1.40%,7.82%,'+45.58%,通用设备
'383,002410.广联达,'13.28,'-0.60%,58.41%,'220,'349,'29,35.72%,'80.49,'3.68,1.12%,4.63%,'+14.17%,软件开发
'384,603095.越剑智能,'16.01,'-0.06%,58.16%,'41,'65,'4,27.14%,'34.49,'1.66,4.91%,4.81%,'+5.27%,专用设备
'385,301077.星华新材,'23.24,'-2.19%,57.86%,'40,'63,'6,34.94%,'26.73,'3.33,3.19%,12.21%,'+30.09%,化学制品
'386,600006.东风股份,'7.55,'-1.18%,57.70%,'152,'240,'25,49.55%,'300.00,'1.81,0.07%,0.48%,'+2.51%,汽车整车
'387,603986.兆易创新,'120.47,'+2.14%,57.44%,'783,'1233,'83,12.76%,'69.17,'4.66,0.29%,7.05%,'+13.12%,半导体
'388,603698.航天工程,'18.53,'-1.91%,57.41%,'101,'159,'16,41.57%,'48.16,'2.95,0.57%,6.26%,'+19.82%,专业服务
'389,300341.麦克奥迪,'17.58,'+1.79%,57.35%,'89,'140,'8,23.48%,'54.31,'4.82,0.41%,9.21%,'+0.84%,电网设备
'390,002017.东信和平,'30.33,'+4.01%,57.26%,'169,'266,'18,38.58%,'87.68,'9.42,0.56%,11.06%,'+196.55%,通信设备
'391,002293.罗莱生活,'8.61,'-0.23%,56.61%,'71,'112,'8,27.96%,'15.77,'1.67,6.94%,10.57%,'+15.17%,纺织服装
'392,603229.奥翔药业,'11.51,'+1.68%,56.12%,'93,'146,'7,24.00%,'44.02,'3.96,0.88%,9.21%,'+16.45%,化学制药
'393,301050.雷电微力,'53.23,'-0.84%,55.77%,'131,'204,'15,23.37%,'41.99,'4.30,0.78%,10.94%,'+3.63%,半导体
'394,603919.金徽酒,'18.88,'-0.47%,54.70%,'96,'148,'11,24.88%,'24.00,'2.70,2.64%,11.29%,'-1.18%,酿酒行业
'395,000733.振华科技,'49.80,'-1.11%,53.22%,'279,'427,'21,18.02%,'30.11,'1.88,0.36%,6.33%,'+18.56%,电子元件
'396,002705.新宝股份,'15.64,'-0.26%,53.16%,'127,'194,'22,44.07%,'11.29,'1.52,2.87%,13.95%,'+7.61%,家电行业
'397,300259.新天科技,'3.82,'-0.52%,52.80%,'44,'68,'6,14.86%,'22.01,'1.52,1.82%,7.01%,'+10.66%,仪器仪表
'398,000739.普洛药业,'16.49,'-1.61%,51.85%,'194,'294,'18,44.93%,'18.74,'2.78,2.14%,15.40%,'+4.01%,化学制药
'399,301048.金鹰重工,'14.71,'-2.78%,51.82%,'80,'122,'7,50.22%,'44.47,'3.01,0.41%,6.97%,'+57.89%,交运设备
'400,301110.青木科技,'57.80,'+1.89%,51.56%,'52,'79,'7,15.69%,'68.72,'3.67,1.41%,5.35%,'-5.31%,互联网服务
'401,601766.中国中车,'7.55,'+0.67%,51.46%,'2152,'3259,'148,59.66%,'14.91,'1.26,2.67%,8.66%,'-9.90%,交运设备
'402,603855.华荣股份,'22.28,'+2.72%,51.18%,'73,'110,'7,56.82%,'14.84,'3.27,4.61%,23.11%,'+15.26%,专用设备
'403,000811.冰轮环境,'13.26,'-1.04%,51.14%,'133,'201,'12,44.64%,'22.19,'2.25,1.44%,10.45%,'+43.48%,通用设备
'404,688036.传音控股,'85.01,'-2.17%,51.01%,'990,'1496,'109,51.98%,'22.46,'4.77,3.45%,21.72%,'-8.65%,消费电子
'405,300193.佳士科技,'9.80,'+0.41%,50.88%,'46,'70,'4,25.52%,'18.40,'2.03,4.25%,10.96%,'+12.70%,通用设备
'406,000922.佳电股份,'12.00,'+2.65%,50.18%,'81,'122,'17,49.71%,'37.18,'1.80,0.95%,5.61%,'+7.38%,电机
'407,688282.理工导航,'52.30,'-2.37%,50.02%,'47,'70,'4,14.43%,'300.00,'3.70,'-,0.21%,'+69.26%,通信设备
'408,300916.朗特智能,'43.89,'-2.47%,49.49%,'65,'97,'7,29.63%,'45.14,'4.76,0.89%,10.94%,'+48.46%,消费电子
'409,603277.银都股份,'17.24,'-0.17%,48.93%,'105,'157,'8,30.79%,'18.40,'3.54,4.01%,19.35%,'+10.21%,通用设备
'410,600556.天下秀,'5.11,'-0.58%,48.68%,'92,'138,'12,26.08%,'185.09,'2.41,0.17%,1.31%,'-1.56%,文化传媒
'411,600770.综艺股份,'5.70,'+0.71%,48.65%,'73,'109,'7,17.47%,'111.42,'2.24,'-,2.04%,'+36.04%,综合行业
'412,301191.菲菱科思,'94.38,'+3.35%,48.14%,'63,'93,'7,27.45%,'67.35,'3.66,1.10%,5.47%,'+6.81%,通信设备
'413,000661.长春高新,'104.06,'-0.36%,48.08%,'426,'630,'24,16.20%,'19.39,'1.82,2.49%,9.49%,'+7.17%,生物制品
'414,688029.南微医学,'95.84,'+3.73%,47.78%,'173,'256,'19,'-,'30.41,'4.34,1.62%,14.79%,'+44.00%,医疗器械
'415,688273.麦澜德,'52.83,'+18.06%,46.64%,'44,'65,'4,9.13%,'42.56,'3.31,1.79%,7.73%,'+129.23%,医疗器械
'416,002990.盛视科技,'30.72,'-2.44%,45.51%,'82,'119,'10,31.80%,'54.76,'3.38,0.67%,6.27%,'+33.67%,软件开发
'417,605599.菜百股份,'15.56,'+0.39%,45.31%,'120,'175,'18,47.34%,'15.73,'2.77,4.65%,18.17%,'+42.55%,珠宝首饰
'418,000962.东方钽业,'17.83,'+1.42%,45.12%,'88,'128,'4,17.03%,'40.35,'3.35,0.75%,8.62%,'+30.77%,小金属
'419,002449.国星光电,'9.47,'-0.42%,44.73%,'58,'85,'5,36.86%,'146.01,'1.53,0.53%,1.05%,'-30.12%,光学光电子
'420,601568.北元集团,'4.22,'-0.47%,44.31%,'168,'243,'38,16.06%,'55.68,'1.44,2.36%,2.57%,'+2.91%,化学原料
'421,001216.华瓷股份,'14.75,'+0.82%,44.04%,'36,'53,'4,19.49%,'17.57,'2.07,2.73%,12.31%,'+19.24%,装修建材
'422,603345.安井食品,'73.43,'-0.34%,43.92%,'245,'353,'22,18.70%,'17.04,'1.84,4.54%,10.92%,'-7.55%,食品饮料
'423,300971.博亚精工,'22.50,'-2.47%,43.49%,'27,'38,'3,23.58%,'85.82,'2.70,0.77%,3.16%,'+56.78%,通用设备
'424,688095.福昕软件,'78.83,'-3.34%,43.23%,'74,'106,'7,22.31%,'234.98,'2.92,0.37%,1.24%,'+17.92%,软件开发
'425,002331.皖通科技,'9.26,'-0.43%,42.63%,'39,'56,'5,40.20%,'132.51,'2.32,0.32%,1.77%,'+25.95%,互联网服务
'426,603311.金海高科,'12.05,'-0.17%,41.62%,'28,'40,'3,20.97%,'31.67,'2.09,0.99%,6.87%,'+22.00%,家电行业
'427,300847.中船汉光,'20.63,'+0.88%,41.29%,'60,'85,'7,10.68%,'48.48,'4.20,0.67%,8.97%,'+21.36%,消费电子
'428,000423.东阿阿胶,'50.94,'-0.64%,41.23%,'330,'466,'31,19.17%,'20.27,'3.08,4.72%,14.99%,'-16.87%,中药
'429,600817.宇通重工,'12.65,'-0.32%,41.11%,'67,'95,'7,40.07%,'27.41,'2.72,0.79%,9.92%,'+10.19%,工程机械
'430,000869.张裕Ａ,'21.71,'-0.14%,40.89%,'146,'205,'15,11.65%,'47.80,'1.35,1.84%,2.81%,'-4.57%,酿酒行业
'431,600629.华建集团,'15.97,'+3.84%,40.82%,'149,'210,'15,62.23%,'40.13,'2.81,0.79%,7.18%,'+75.78%,工程咨询服务
'432,605169.洪通燃气,'17.97,'+9.98%,40.70%,'46,'65,'6,22.54%,'23.89,'2.38,1.53%,10.32%,'+80.76%,燃气
'433,002246.北化股份,'19.18,'-2.14%,40.68%,'107,'151,'12,33.78%,'300.00,'3.78,0.20%,0.43%,'+89.63%,化学制品
'434,300373.扬杰科技,'57.52,'-0.28%,40.56%,'313,'440,'17,35.77%,'28.62,'3.47,1.14%,12.55%,'+33.28%,半导体
'435,002107.沃华医药,'6.97,'-3.46%,39.98%,'41,'58,'4,26.96%,'59.54,'5.62,'-,9.90%,'+45.82%,中药
'436,300223.北京君正,'69.62,'+1.60%,39.90%,'330,'462,'32,6.29%,'93.71,'2.73,0.15%,2.95%,'+2.24%,半导体
'437,600559.老白干酒,'17.07,'+0.23%,39.58%,'155,'217,'16,44.65%,'19.39,'2.85,3.23%,15.42%,'-15.94%,酿酒行业
'438,002801.微光股份,'35.52,'-0.53%,38.46%,'82,'113,'6,19.14%,'34.94,'4.71,0.98%,14.21%,'+46.83%,电机
'439,603798.康普顿,'12.64,'-0.32%,37.92%,'32,'44,'4,16.55%,'48.70,'2.78,0.87%,5.75%,'+44.74%,石油行业
'440,002651.利君股份,'13.31,'-2.85%,37.84%,'141,'195,'13,18.78%,'128.65,'5.01,0.44%,3.94%,'+82.53%,专用设备
'441,603192.汇得科技,'22.70,'-1.65%,37.60%,'32,'44,'2,30.00%,'25.22,'2.07,1.62%,8.51%,'+55.67%,化学制品
'442,301009.可靠股份,'14.88,'-2.04%,37.34%,'41,'56,'6,31.69%,'131.39,'3.05,0.46%,2.32%,'+39.89%,美容护理
'443,002322.理工能科,'12.82,'-0.08%,37.19%,'48,'66,'4,9.04%,'18.08,'1.65,6.00%,8.76%,'+4.76%,软件开发
'444,601579.会稽山,'19.10,'-0.37%,36.15%,'91,'125,'9,17.67%,'46.48,'2.42,2.09%,5.27%,'+75.30%,酿酒行业
'445,601000.唐山港,'4.08,'+0.74%,35.37%,'240,'324,'28,8.68%,'13.19,'1.13,4.94%,8.73%,'-9.11%,航运港口
'446,603688.石英股份,'34.74,'+0.43%,35.26%,'187,'253,'5,5.47%,'82.22,'3.22,0.55%,3.37%,'+21.62%,非金属材料
'447,301056.森赫股份,'11.75,'-1.92%,35.11%,'31,'43,'3,33.10%,'37.68,'3.61,3.34%,9.75%,'+49.55%,专用设备
'448,000650.仁和药业,'5.84,0.00%,35.07%,'81,'110,'5,8.43%,'17.43,'1.29,2.57%,7.52%,'+4.19%,中药
'449,300039.上海凯宝,'6.68,'-0.89%,34.87%,'70,'95,'7,10.07%,'18.98,'1.68,1.48%,9.30%,'+9.89%,中药
'450,688261.东微半导,'59.39,'-1.46%,34.83%,'73,'99,'10,6.72%,'168.81,'2.54,0.07%,1.52%,'+41.58%,半导体
'451,003005.竞业达,'23.32,'-2.26%,34.76%,'55,'74,'3,14.24%,'117.36,'2.96,0.96%,2.83%,'+21.71%,互联网服务
'452,001218.丽臣实业,'19.62,'+0.10%,33.63%,'25,'34,'4,22.74%,'24.47,'1.14,2.60%,4.72%,'+17.13%,化学制品
'453,300559.佳发教育,'12.81,'-1.84%,33.05%,'52,'69,'5,9.52%,'263.01,'4.33,1.15%,1.64%,'+8.50%,软件开发
'454,688065.凯赛生物,'48.69,'-0.77%,32.97%,'353,'470,'90,14.36%,'67.98,'2.02,0.82%,3.61%,'+26.54%,化学制品
'455,605167.利柏特,'10.95,'-1.08%,32.91%,'49,'66,'4,45.45%,'20.95,'2.65,1.02%,13.50%,'+14.78%,专用设备
'456,600371.万向德农,'9.47,'-1.35%,32.68%,'28,'37,'3,14.08%,'68.96,'4.71,1.56%,6.73%,'+11.57%,农牧饲渔
'457,688314.康拓医疗,'41.10,'-0.96%,32.48%,'33,'44,'3,12.92%,'36.44,'5.11,0.87%,14.62%,'+43.54%,医疗器械
'458,600216.浙江医药,'15.59,'-0.89%,31.89%,'151,'199,'14,19.51%,'10.36,'1.37,2.35%,14.03%,'+0.68%,化学制药
'459,300550.和仁科技,'13.66,'-1.09%,31.69%,'36,'47,'4,21.46%,'100.81,'3.28,0.18%,3.29%,'-9.67%,软件开发
'460,002766.索菱股份,'5.41,'-0.37%,30.94%,'46,'61,'3,28.86%,'90.93,'5.75,'-,6.72%,'-5.91%,汽车零部件
'461,600598.北大荒,'15.01,'-1.18%,30.52%,'270,'352,'30,45.55%,'25.21,'3.23,3.62%,13.06%,'+5.63%,农牧饲渔
