序号	基金代码	基金简称	日期	单位净值	累计净值	日增长率	近1周	近1月	近3月	近6月	近1年	近2年	近3年	今年来	成立来	自定义 
127	12696	同泰数字经济	8月5日	0.779	0.779	0.76%	-2.84%	15.85%	27.68%	18.86%	59.50%	21.11%	-0.69%	22.31%	-22.10%	56.49%
128	15735	红塔红土信息	8月5日	1.5793	1.5793	0.43%	-0.14%	11.27%	21.72%	19.93%	59.16%	47.20%	---	23.47%	57.93%	57.21%
129	411	景顺长城优质	8月5日	1.854	2.407	0.82%	-0.96%	14.37%	26.90%	14.52%	59.14%	44.31%	40.13%	19.00%	175.85%	55.15%
130	828	宏利转型机遇	8月5日	3.216	3.436	0.19%	-0.59%	16.99%	44.41%	33.44%	59.13%	38.86%	-0.31%	27.22%	286.45%	55.74%
131	18195	建信新材料精	8月5日	1.6506	1.6506	0.54%	-0.69%	8.35%	22.03%	31.27%	59.11%	---	---	32.41%	65.06%	58.09%
132	12697	同泰数字经济	8月5日	0.7665	0.7665	0.75%	-2.85%	15.82%	27.56%	18.62%	58.83%	20.14%	-1.88%	22.02%	-23.35%	55.86%
133	14416	泰康研究精选	8月5日	0.923	0.923	0.14%	-0.57%	11.02%	19.27%	20.07%	58.73%	16.09%	5.61%	15.64%	-7.70%	56.36%
134	21500	景顺长城优质	8月5日	1.846	1.846	0.82%	-1.02%	14.30%	26.70%	14.30%	58.73%	---	---	18.71%	47.56%	54.61%
135	12800	宏利转型机遇	8月5日	3.177	3.177	0.16%	-0.59%	16.93%	44.28%	33.21%	58.61%	38.01%	-1.21%	26.98%	-11.36%	55.20%
136	540010	汇丰晋信科技	8月5日	2.3756	2.3756	0.63%	0.36%	13.96%	28.54%	21.35%	58.03%	12.92%	-8.54%	26.01%	137.56%	55.30%
137	7831	博道伍佰智航	8月5日	1.5935	1.8855	1.01%	0.30%	7.80%	19.36%	25.15%	58.01%	34.87%	30.46%	25.43%	99.72%	56.44%
138	14417	泰康研究精选	8月5日	0.9066	0.9066	0.13%	-0.58%	10.97%	19.10%	19.78%	57.97%	14.93%	4.04%	15.30%	-9.34%	55.59%
139	1917	招商量化精选	8月5日	3.1937	3.2637	0.98%	0.70%	9.18%	22.09%	24.03%	57.92%	38.75%	52.98%	26.65%	239.77%	55.76%
140	5457	景顺长城量化	8月5日	1.5919	1.8719	0.79%	0.72%	8.40%	18.11%	21.71%	57.69%	21.71%	15.97%	21.94%	94.20%	55.40%
141	14736	创金合信专精	8月5日	1.2447	1.2447	0.44%	-3.06%	3.13%	5.55%	14.07%	57.66%	12.25%	16.46%	11.94%	24.47%	54.53%
142	11601	前海开源公共	8月5日	0.4999	0.4999	2.97%	-0.91%	14.32%	36.10%	61.94%	57.65%	20.05%	-13.80%	58.45%	-50.01%	55.49%
143	7832	博道伍佰智航	8月5日	1.5609	1.8529	1.01%	0.30%	7.77%	19.27%	24.96%	57.56%	34.07%	29.30%	25.21%	96.27%	55.98%
144	20553	南方半导体产	8月5日	1.5795	1.5795	1.11%	-0.09%	10.42%	14.56%	21.57%	57.35%	---	---	24.93%	57.95%	56.76%
145	11602	前海开源公共	8月5日	0.4913	0.4913	2.98%	-0.91%	14.28%	35.94%	61.56%	57.02%	19.10%	-14.81%	58.03%	-50.87%	54.89%
146	7950	招商量化精选	8月5日	3.0903	3.0903	0.98%	0.69%	9.12%	21.90%	23.66%	56.97%	37.09%	50.26%	26.20%	212.72%	54.83%
147	14737	创金合信专精	8月5日	1.223	1.223	0.44%	-3.07%	3.09%	5.41%	13.79%	56.88%	11.12%	14.73%	11.62%	22.30%	53.76%
148	6195	国金量化多因	8月5日	2.6387	2.6387	0.98%	-0.14%	7.83%	21.81%	32.82%	56.83%	23.57%	42.42%	30.22%	163.87%	55.54%
149	20554	南方半导体产	8月5日	1.571	1.571	1.11%	-0.11%	10.37%	14.43%	21.32%	56.68%	---	---	24.63%	57.10%	56.10%
150	2210	创金合信量化	8月5日	1.3416	1.9722	0.63%	0.54%	7.95%	18.47%	24.11%	56.60%	13.56%	7.89%	22.79%	113.21%	54.56%
