序号	基金代码	基金简称	日期	单位净值	累计净值	日增长率	近1周	近1月	近3月	近6月	近1年	近2年	近3年	今年来	成立来	自定义 
74	10500	中银创新医疗	8月5日	2.2105	2.2654	3.33%	-0.95%	13.71%	32.11%	90.77%	95.90%	75.77%	60.95%	86.48%	28.49%	89.82%
75	2833	华夏新锦绣混	8月5日	2.7284	2.9904	0.93%	1.68%	8.91%	22.56%	38.53%	95.77%	65.24%	84.09%	40.03%	221.09%	91.33%
76	2834	华夏新锦绣混	8月5日	2.7224	2.7224	0.93%	1.68%	8.90%	22.53%	38.46%	95.56%	64.90%	---	39.94%	172.24%	91.13%
77	7770	同泰开泰混合	8月5日	1.0223	1.0223	0.12%	-0.81%	4.48%	10.07%	34.81%	95.47%	-3.03%	-31.73%	37.02%	2.23%	92.89%
78	15143	中欧智能制造	8月5日	1.5493	1.5493	0.20%	-3.10%	10.35%	10.29%	24.74%	95.25%	75.08%	40.09%	36.56%	54.93%	92.27%
79	15630	申万菱信乐融	8月5日	1.4352	1.4352	0.23%	-0.06%	-3.02%	8.60%	38.01%	95.08%	51.73%	43.12%	48.17%	43.52%	93.24%
80	7771	同泰开泰混合	8月5日	0.9975	0.9975	0.12%	-0.82%	4.44%	9.95%	34.54%	94.71%	-3.81%	-32.55%	36.68%	-0.25%	92.12%
81	20661	中加科技创新	8月5日	1.4337	1.4337	1.49%	-0.63%	20.25%	46.81%	46.06%	94.56%	---	---	41.27%	43.37%	90.12%
82	15631	申万菱信乐融	8月5日	1.4174	1.4174	0.23%	-0.06%	-3.06%	8.47%	37.72%	94.32%	50.52%	41.41%	47.82%	41.74%	92.50%
83	15144	中欧智能制造	8月5日	1.5219	1.5219	0.20%	-3.11%	10.30%	10.12%	24.41%	94.10%	73.16%	37.88%	36.07%	52.19%	91.12%
84	5682	财通资管消费	8月5日	1.9531	1.9531	-0.50%	-2.70%	19.70%	39.17%	45.41%	93.86%	42.81%	-2.52%	50.27%	95.31%	88.74%
85	11020	财通资管消费	8月5日	0.9386	0.9386	-0.51%	-2.71%	19.69%	39.13%	45.34%	93.69%	42.54%	-2.81%	50.18%	-6.14%	88.55%
86	4223	金信多策略精	8月5日	1.7531	2.521	1.92%	2.05%	12.09%	16.33%	16.35%	93.67%	33.96%	7.71%	22.04%	211.67%	90.33%
87	20662	中加科技创新	8月5日	1.4232	1.4232	1.49%	-0.64%	20.20%	46.59%	45.64%	93.61%	---	---	40.79%	42.32%	89.18%
88	3413	华泰柏瑞新经	8月5日	1.6382	1.6382	0.32%	-3.13%	3.10%	13.10%	32.45%	93.48%	5.00%	9.69%	35.21%	63.82%	91.96%
89	15967	永赢半导体产	8月5日	1.334	1.334	1.81%	-0.66%	13.42%	13.38%	24.96%	93.45%	47.73%	---	35.86%	33.40%	91.39%
90	4890	中邮健康文娱	8月5日	2.9008	2.9008	0.40%	-1.55%	15.11%	31.03%	28.45%	93.28%	59.53%	55.35%	34.76%	190.08%	91.03%
91	10418	财通景气行业	8月5日	1.0377	1.0377	0.50%	-0.41%	11.31%	42.01%	40.10%	93.20%	60.06%	42.42%	41.80%	3.77%	89.33%
92	16075	华夏智造升级	8月5日	0.9794	0.9794	0.98%	2.45%	7.48%	7.52%	10.87%	93.10%	14.26%	---	29.79%	-2.06%	90.25%
93	20592	金信多策略精	8月5日	1.7454	1.7454	1.92%	2.05%	12.03%	16.14%	15.98%	92.97%	---	---	21.59%	64.91%	89.63%
94	270	建信灵活配置	8月5日	1.6259	2.4835	1.00%	1.92%	10.01%	25.14%	39.10%	92.80%	62.28%	58.73%	47.06%	148.35%	89.23%
95	15968	永赢半导体产	8月5日	1.3182	1.3182	1.81%	-0.66%	13.38%	13.26%	24.71%	92.61%	46.50%	---	35.58%	31.82%	90.55%
96	714	诺安稳健回报	8月5日	1.586	1.754	-0.69%	-0.50%	10.22%	16.11%	28.63%	92.48%	43.01%	17.31%	42.63%	79.64%	88.36%
97	16234	财通景气行业	8月5日	1.0258	1.0258	0.50%	-0.42%	11.27%	41.88%	39.81%	92.42%	58.89%	40.83%	41.47%	32.74%	88.57%
98	501015	财通多策略升	8月5日	1.724	1.724	0.52%	-0.35%	11.66%	42.48%	40.51%	92.41%	57.59%	40.73%	41.78%	72.40%	88.42%
99	2052	诺安稳健回报	8月5日	1.536	1.704	-0.71%	-0.45%	10.19%	16.10%	28.54%	92.24%	42.62%	16.45%	42.62%	35.63%	88.00%
100	20726	建信灵活配置	8月5日	1.6175	1.6175	1.00%	1.91%	9.98%	25.01%	38.84%	92.06%	---	---	46.71%	151.32%	88.50%
101	16076	华夏智造升级	8月5日	0.9636	0.9636	0.99%	2.43%	7.44%	7.35%	10.54%	91.95%	12.90%	---	29.34%	-3.64%	89.09%
102	10350	景顺长城品质	8月5日	1.4191	1.4191	1.10%	-0.81%	12.50%	25.91%	31.97%	91.67%	75.37%	78.01%	36.78%	41.91%	87.74%
103	10421	海富通消费优	8月5日	1.2442	1.2442	0.12%	2.89%	13.09%	21.97%	48.53%	91.03%	49.24%	18.76%	53.76%	24.42%	87.97%
104	15271	财通多策略升	8月5日	1.695	1.695	0.47%	-0.35%	11.59%	42.32%	39.74%	90.88%	55.50%	38.59%	40.78%	47.91%	86.88%
105	15751	景顺长城品质	8月5日	1.3997	1.3997	1.10%	-0.82%	12.46%	25.77%	31.70%	90.75%	73.79%	75.71%	36.42%	82.11%	86.85%
106	12358	汇丰晋信医疗	8月5日	0.8944	0.8944	2.53%	0.62%	16.56%	47.76%	91.27%	90.74%	56.15%	22.34%	86.92%	-10.56%	84.00%
107	501081	中欧科创主题	8月5日	2.3824	2.3824	0.03%	-2.94%	9.81%	8.46%	20.71%	90.61%	63.49%	28.85%	32.95%	138.24%	87.71%
108	5689	中银医疗保健	8月5日	2.8155	3.279	0.50%	-1.17%	10.18%	28.80%	78.93%	90.58%	84.51%	59.63%	76.54%	262.90%	87.40%
109	10033	安信成长精选	8月5日	1.2228	1.2228	0.50%	-2.20%	18.80%	41.15%	60.68%	90.41%	56.85%	14.00%	64.89%	22.28%	88.04%
110	10422	海富通消费优	8月5日	1.2177	1.2177	0.12%	2.89%	13.04%	21.81%	48.16%	90.12%	47.76%	16.99%	53.30%	21.77%	87.05%
