序号	基金代码	基金简称	日期	单位净值	累计净值	日增长率	近1周	近1月	近3月	近6月	近1年	近2年	近3年	今年来	成立来	自定义 
76	40023	华安可转债债	8月5日	1.994	1.994	0.55%	0.50%	2.84%	7.32%	8.55%	24.94%	12.78%	12.27%	10.10%	99.40%	24.39%
77	90017	大成可转债增	8月5日	1.7216	1.7316	0.94%	-0.03%	4.85%	11.01%	10.59%	24.92%	8.96%	-1.45%	12.90%	73.77%	24.77%
78	5193	北信瑞丰鼎利	8月5日	1.2495	1.3445	0.82%	0.68%	3.08%	7.45%	9.93%	24.80%	23.97%	21.12%	10.86%	36.66%	24.03%
79	19152	大成可转债增	8月5日	1.7171	1.7171	0.94%	-0.03%	4.84%	10.98%	10.55%	24.80%	---	---	12.84%	12.97%	24.65%
80	530020	建信转债增强	8月5日	3.292	3.292	0.92%	1.04%	3.82%	7.55%	7.90%	24.41%	7.69%	-5.67%	9.84%	229.20%	23.67%
81	19095	东方双债添利	8月5日	1.3373	1.3373	0.80%	1.09%	4.62%	10.96%	13.71%	24.37%	---	---	14.73%	12.84%	24.45%
82	400027	东方双债添利	8月5日	1.3371	1.872	0.80%	1.09%	4.62%	10.96%	13.71%	24.36%	9.28%	5.04%	14.72%	101.42%	24.44%
83	2586	金鹰添利信用	8月5日	1.212	1.498	0.44%	0.56%	4.07%	9.47%	10.59%	24.27%	11.16%	13.39%	12.56%	53.64%	23.93%
84	5461	南方希元可转	8月5日	1.5848	1.5848	0.87%	0.55%	5.60%	10.14%	10.55%	24.22%	2.13%	-7.09%	13.22%	58.48%	23.74%
85	202105	南方广利回报	8月5日	1.7072	2.0392	0.21%	-0.20%	5.70%	9.20%	12.10%	24.11%	8.81%	3.97%	14.77%	115.65%	23.45%
86	2587	金鹰添利信用	8月5日	1.2011	1.4801	0.44%	0.55%	4.05%	9.41%	10.49%	24.03%	10.71%	12.78%	12.43%	51.57%	23.67%
87	531020	建信转债增强	8月5日	3.14	3.14	0.93%	1.06%	3.84%	7.46%	7.72%	24.01%	6.95%	-6.63%	9.68%	214.00%	23.28%
88	6482	广发可转债债	8月5日	1.7364	1.7364	0.80%	0.68%	6.25%	11.67%	10.46%	23.91%	9.01%	-3.03%	13.13%	73.62%	23.62%
89	400029	东方双债添利	8月5日	1.3194	1.8136	0.79%	1.08%	4.58%	10.85%	13.50%	23.88%	8.42%	3.72%	14.46%	93.11%	23.96%
90	10629	广发可转债债	8月5日	1.7203	1.7203	0.79%	0.67%	6.22%	11.60%	10.35%	23.66%	8.57%	-3.62%	12.99%	23.65%	23.37%
91	202107	南方广利回报	8月5日	1.7439	1.9609	0.21%	-0.21%	5.67%	9.08%	11.88%	23.63%	7.91%	2.70%	14.50%	105.39%	22.97%
92	14	华夏聚利债券	8月5日	1.949	1.949	0.50%	0.42%	3.92%	8.34%	9.51%	23.62%	7.26%	6.97%	10.32%	94.90%	23.01%
93	6254	长城久悦债券	8月5日	1.1554	1.1554	0.69%	0.55%	4.87%	10.48%	11.18%	23.48%	4.52%	-1.79%	13.70%	15.54%	23.10%
94	6483	广发可转债债	8月5日	1.7301	1.7301	0.79%	0.67%	6.21%	11.54%	10.23%	23.41%	8.14%	-4.20%	12.86%	72.99%	23.13%
95	17771	华夏聚利债券	8月5日	1.917	1.917	0.50%	0.42%	3.90%	8.26%	9.35%	23.27%	6.62%	---	10.13%	7.04%	22.66%
96	519977	长信可转债债	8月5日	1.7785	2.7385	0.97%	0.51%	4.39%	10.07%	9.46%	23.06%	4.99%	-0.69%	12.19%	244.34%	22.99%
97	519976	长信可转债债	8月5日	1.7081	2.6151	0.96%	0.51%	4.38%	10.06%	9.44%	23.02%	4.92%	-0.97%	12.15%	220.45%	22.96%
98	15723	长城久悦债券	8月5日	1.1422	1.1422	0.68%	0.53%	4.84%	10.35%	10.95%	22.98%	3.69%	-2.94%	13.41%	4.11%	22.61%
99	50023	博时天颐债券	8月5日	1.6692	1.9222	0.28%	1.30%	3.07%	6.08%	11.06%	22.89%	9.77%	11.98%	13.06%	103.83%	22.55%
100	163811	中银双利债券	8月5日	1.5247	1.9997	0.33%	0.18%	2.31%	5.07%	6.20%	22.86%	19.11%	19.43%	10.42%	118.16%	23.04%
101	161010	富国天丰强化	8月5日	1.275	2.1895	0.40%	0.24%	5.63%	6.23%	11.00%	22.57%	16.75%	17.59%	11.43%	189.87%	22.59%
102	163812	中银双利债券	8月5日	1.4948	1.9208	0.32%	0.17%	2.27%	4.97%	6.01%	22.43%	18.29%	18.18%	10.20%	107.03%	22.62%
103	50123	博时天颐债券	8月5日	1.5788	1.8218	0.28%	1.30%	3.03%	5.96%	10.84%	22.41%	8.89%	10.65%	12.80%	91.40%	22.07%
104	143	鹏华双债加利	8月5日	1.9323	2.1243	0.21%	0.55%	3.73%	7.72%	9.89%	22.09%	18.93%	15.52%	10.15%	120.86%	21.82%
105	13149	鹏华双债加利	8月5日	1.1547	1.1547	0.21%	0.55%	3.74%	7.71%	9.89%	22.07%	18.78%	15.15%	10.14%	15.47%	21.80%
106	2280	华富安享债券	8月5日	1.1709	1.5809	0.74%	0.84%	3.49%	9.93%	8.20%	21.88%	7.08%	2.53%	10.88%	60.24%	21.58%
107	530017	建信双息红利	8月5日	1.177	1.914	0.68%	0.43%	3.88%	9.18%	7.98%	21.84%	6.61%	1.30%	9.79%	119.98%	21.09%
108	47	华夏双债债券	8月5日	1.9707	2.2728	0.38%	0.62%	3.73%	7.20%	8.55%	21.78%	20.68%	20.31%	10.18%	149.33%	21.72%
109	5121	富国兴利增强	8月5日	1.6449	1.6449	0.42%	-0.04%	3.69%	6.51%	5.44%	21.51%	12.12%	9.75%	6.67%	64.49%	21.09%
110	531017	建信双息红利	8月5日	1.142	1.623	0.71%	0.35%	3.91%	9.07%	7.84%	21.49%	5.84%	0.25%	9.49%	72.66%	20.59%
111	100051	富国可转债A	8月5日	2.153	2.153	0.94%	1.32%	5.49%	12.31%	11.38%	21.43%	3.71%	-2.54%	13.92%	115.30%	21.50%
112	48	华夏双债债券	8月5日	1.9141	2.2058	0.38%	0.62%	3.71%	7.11%	8.40%	21.41%	20.01%	19.26%	9.99%	140.81%	21.36%
113	200013	长城积极增利	8月5日	1.2971	1.7595	0.65%	0.69%	4.44%	10.65%	9.75%	21.36%	12.24%	5.57%	12.58%	89.17%	21.02%
114	261001	景顺长城稳定	8月5日	1.205	1.561	0.42%	0.67%	1.52%	4.78%	6.35%	21.35%	12.93%	14.26%	8.75%	67.50%	21.23%
115	9758	富国可转债C	8月5日	2.132	2.132	0.90%	1.28%	5.49%	12.21%	11.27%	21.14%	3.29%	-3.09%	13.77%	25.71%	21.27%
116	261101	景顺长城稳定	8月5日	1.192	1.494	0.42%	0.68%	1.53%	4.65%	6.14%	20.89%	12.03%	13.03%	8.56%	58.09%	20.77%
117	200113	长城积极增利	8月5日	1.5162	1.7066	0.65%	0.68%	4.41%	10.53%	9.53%	20.88%	11.35%	4.30%	12.31%	78.29%	20.54%
118	6618	长江可转债债	8月5日	1.5488	1.6188	0.57%	0.62%	4.64%	9.35%	8.67%	20.78%	8.46%	1.76%	10.55%	62.42%	20.40%
119	2101	创金合信转债	8月5日	1.3938	1.4838	0.74%	1.13%	4.85%	9.83%	9.54%	20.74%	5.24%	6.18%	10.85%	48.38%	20.49%
120	1086	华富恒利债券	8月5日	1.1751	1.2191	0.58%	1.25%	4.47%	6.16%	7.43%	20.40%	14.76%	1.30%	8.87%	22.12%	19.91%
121	2102	创金合信转债	8月5日	1.3639	1.332	0.73%	1.12%	4.83%	9.74%	9.37%	20.38%	4.58%	5.19%	10.65%	33.20%	20.13%
122	6619	长江可转债债	8月5日	1.5123	1.5773	0.57%	0.62%	4.60%	9.23%	8.46%	20.29%	7.59%	0.53%	10.29%	58.23%	19.92%
123	7032	平安可转债债	8月5日	1.2252	1.2252	0.74%	0.81%	3.63%	9.63%	9.30%	20.02%	2.19%	-17.90%	11.78%	22.52%	20.18%
124	8331	万家可转债债	8月5日	1.3424	1.3424	0.68%	0.68%	3.94%	8.31%	8.56%	19.99%	9.12%	4.74%	11.19%	34.24%	19.57%
125	5717	兴业机遇债券	8月5日	1.5949	1.6649	0.33%	0.45%	1.19%	5.20%	5.45%	19.98%	13.30%	13.76%	7.53%	70.01%	19.97%
126	1087	华富恒利债券	8月5日	1.1239	1.1449	0.58%	1.24%	4.39%	6.01%	7.16%	19.82%	13.76%	-0.01%	8.55%	14.54%	19.44%
127	5212	汇安稳裕债券	8月5日	1.1854	1.3224	-0.05%	1.03%	-1.36%	-1.17%	-1.13%	19.70%	19.06%	19.00%	0.78%	34.78%	19.71%
128	5945	工银可转债优	8月5日	1.2631	1.2631	1.00%	0.23%	2.50%	5.59%	8.83%	19.68%	2.86%	-10.84%	9.89%	26.30%	20.30%
129	7033	平安可转债债	8月5日	1.1964	1.1964	0.74%	0.81%	3.60%	9.51%	9.08%	19.54%	1.38%	-18.88%	11.51%	19.64%	19.70%
130	8332	万家可转债债	8月5日	1.3144	1.3144	0.68%	0.67%	3.91%	8.20%	8.34%	19.51%	8.25%	3.50%	10.94%	31.44%	19.10%
131	8222	兴业机遇债券	8月5日	1.6074	1.6474	0.33%	0.44%	1.15%	5.09%	5.24%	19.50%	12.39%	12.40%	7.27%	59.94%	19.50%
132	5273	华商可转债债	8月5日	1.7705	1.7705	1.09%	-0.88%	6.88%	13.70%	15.86%	19.39%	15.55%	12.91%	15.27%	77.05%	19.24%
133	5946	工银可转债优	8月5日	1.2263	1.2263	1.00%	0.22%	2.46%	5.48%	8.63%	19.21%	2.05%	-11.90%	9.64%	22.62%	19.83%
134	4318	国寿安保尊裕	8月5日	1.199	1.31	0.08%	-0.08%	1.35%	4.62%	6.39%	19.18%	12.16%	14.63%	6.58%	33.15%	18.36%
135	14775	招商安本增利	8月5日	1.7611	1.9479	0.23%	0.48%	3.01%	9.11%	9.02%	18.92%	17.05%	18.82%	9.49%	18.61%	18.63%
136	5284	华商可转债债	8月5日	1.7252	1.7252	1.09%	-0.88%	6.84%	13.58%	15.64%	18.91%	14.63%	11.56%	15.01%	72.52%	18.77%
137	470058	汇添富可转换	8月5日	2.0166	2.2982	0.77%	0.26%	3.80%	11.49%	9.34%	18.84%	10.20%	1.08%	9.99%	150.45%	18.83%
138	3458	嘉实稳宏债券	8月5日	1.5482	1.5482	0.58%	0.03%	4.43%	10.17%	9.47%	18.80%	2.38%	-5.90%	11.48%	54.82%	18.34%
139	4319	国寿安保尊裕	8月5日	1.177	1.272	0.17%	0.00%	1.38%	4.53%	6.32%	18.77%	11.35%	13.28%	6.42%	28.81%	17.94%
140	6147	宝盈融源可转	8月5日	1.3481	1.3481	0.57%	-0.54%	3.45%	9.43%	12.48%	18.75%	8.33%	-5.96%	16.10%	34.81%	19.77%
141	14088	永赢稳健增强	8月5日	1.122	1.122	0.36%	0.23%	2.55%	8.26%	8.90%	18.60%	14.82%	10.47%	9.82%	12.20%	18.42%
142	217008	招商安本增利	8月5日	1.7424	2.5487	0.23%	0.47%	2.98%	9.03%	8.85%	18.57%	16.35%	17.76%	9.30%	227.68%	18.28%
143	5579	光大晟利债券	8月5日	1.3329	1.3329	0.68%	1.02%	2.91%	6.63%	5.97%	18.55%	9.15%	7.54%	8.83%	33.29%	18.64%
144	3459	嘉实稳宏债券	8月5日	1.5046	1.5046	0.58%	0.02%	4.40%	10.07%	9.28%	18.39%	1.67%	-6.88%	11.24%	50.46%	17.92%
145	6148	宝盈融源可转	8月5日	1.3242	1.3242	0.55%	-0.55%	3.41%	9.34%	12.32%	18.39%	7.68%	-6.81%	15.88%	32.42%	19.40%
146	470059	汇添富可转换	8月5日	1.8977	2.1793	0.77%	0.25%	3.76%	11.37%	9.11%	18.37%	9.31%	-0.12%	9.73%	137.06%	18.36%
147	5843	金元顺安沣泉	8月5日	1.1024	1.2704	0.26%	0.04%	1.96%	5.30%	5.37%	18.26%	7.45%	7.53%	6.83%	28.28%	17.95%
148	3197	光大安诚债券	8月5日	1.2207	1.2972	0.72%	0.66%	4.31%	7.98%	5.07%	18.26%	5.41%	0.84%	8.14%	31.35%	18.25%
149	14089	永赢稳健增强	8月5日	1.106	1.106	0.35%	0.23%	2.51%	8.13%	8.69%	18.14%	13.91%	9.15%	9.56%	10.60%	17.95%
150	5580	光大晟利债券	8月5日	1.2918	1.2918	0.68%	1.02%	2.87%	6.52%	5.77%	18.10%	8.29%	6.28%	8.58%	29.18%	18.18%
151	19486	金元顺安沣泉	8月5日	1.0894	1.0894	0.27%	0.03%	1.94%	5.24%	5.27%	18.02%	---	---	6.71%	6.12%	17.72%
152	519162	新华增怡债券	8月5日	1.6009	1.8279	0.19%	-0.12%	1.42%	3.37%	4.82%	17.96%	13.30%	10.76%	5.55%	93.10%	17.71%
153	3198	光大安诚债券	8月5日	1.2098	1.2801	0.72%	0.66%	4.28%	7.89%	4.91%	17.90%	4.79%	-0.07%	7.94%	29.36%	17.90%
154	50011	博时信用债券	8月5日	3.4618	3.5768	0.81%	0.72%	2.33%	10.42%	10.05%	17.62%	12.76%	8.79%	10.65%	280.11%	18.09%
155	13720	新华增怡债券	8月5日	1.1291	1.1291	0.20%	-0.12%	1.38%	3.27%	4.61%	17.49%	12.39%	9.42%	5.30%	12.91%	17.25%
156	2474	中邮睿信增强	8月5日	1.323	1.585	0.61%	0.53%	2.56%	6.69%	7.13%	17.39%	16.98%	21.02%	8.00%	64.05%	17.50%
157	8345	南华瑞泽债券	8月5日	1.1108	1.2108	0.63%	0.30%	5.13%	11.47%	12.12%	17.22%	9.42%	5.18%	12.77%	21.92%	16.98%
158	50111	博时信用债券	8月5日	3.3115	3.4085	0.81%	0.72%	2.30%	10.32%	9.86%	17.21%	11.95%	7.62%	10.42%	258.59%	17.68%
159	8398	汇添富鑫福债	8月5日	1.1258	1.2058	0.67%	0.77%	3.12%	7.70%	4.99%	16.74%	14.96%	18.28%	7.08%	21.54%	16.74%
160	8346	南华瑞泽债券	8月5日	1.0892	1.1892	0.63%	0.29%	5.09%	11.35%	11.90%	16.69%	8.85%	4.23%	12.50%	19.61%	16.44%
161	360008	光大增利收益	8月5日	1.421	1.943	0.14%	0.28%	1.21%	3.50%	3.57%	16.57%	12.87%	15.34%	4.10%	124.47%	16.48%
162	360009	光大增利收益	8月5日	1.393	1.859	0.07%	0.22%	1.16%	3.34%	3.34%	16.08%	11.98%	13.99%	3.80%	109.85%	15.99%
163	377	摩根双债增利	8月5日	1.1649	1.6299	0.37%	0.49%	1.60%	4.54%	6.14%	15.98%	8.34%	6.51%	6.46%	77.23%	15.65%
164	7683	华商转债精选	8月5日	1.2672	1.2672	0.94%	1.34%	3.52%	9.97%	8.82%	15.95%	10.53%	10.54%	9.83%	26.72%	16.02%
165	7684	华商转债精选	8月5日	1.2509	1.2509	0.94%	1.34%	3.53%	9.97%	8.81%	15.76%	10.03%	9.71%	9.79%	25.09%	15.83%
